# READ LOG for the wave 3 user-count sweep. 3-Sep-2026. REFERENCE, not a dataset to ingest.
# This file exists because waves 1 and 2 did not have one. They recorded only the URLs that produced
# a finding, so a URL read that found nothing left no trace, and the sweep could not say what it had
# checked. D12: silence is never an outcome. One row per round, for all 224 rounds wave 3 covered.
# verdict FOUND means at least one countable figure, and the figures are in the wave 3 file.
# verdict NONE means the page was read and prints no countable figure about the company.
# verdict UNREACHABLE means no page about that round could be read, after the recovery pass.
# url_read is the page actually read, which for a recovered round is not the URL we had stored.
company,round,verdict,url_read
Wiz,Mar-26,FOUND,https://www.prnewswire.com/news-releases/google-completes-acquisition-of-wiz-302710989.html
Wiz,May-24,NONE,https://www.wiz.io/blog/celebrating-our-1-billion-funding-round-and-12-billion-valuation
Wolt,Nov-21,FOUND,https://ir.doordash.com/news/news-details/2021/DoorDash-Joins-Forces-with-Wolt/default.aspx
Writer,Nov-24,NONE,https://writer.com/blog/series-c-funding-writer-press-release/
Writer,Sep-23,FOUND,https://writer.com/blog/series-b-funding-writer/
Xpansiv,Jul-22,FOUND,https://www.xpansiv.com/press/xpansivs-cbl-sees-near-tripling-in-carbon-trade-in-2021
Xpressbees,Feb-22,FOUND,https://entrackr.com/2022/02/xpressbees-enters-unicorn-club-after-300-mn-series-f-round/
Yotpo,Mar-21,FOUND,https://prnewswire.com/news-releases/yotpo-raises-230-million-to-deliver-its-ecommerce-marketing-platform-giving-brands-maximum-marketing-firepower-in-an-ecommerce-first-world-301250042.html
Zepz,Oct-24,NONE,https://news.bloomberglaw.com/private-equity/accel-tcv-and-world-bank-support-zepzs-267-million-fundraise
dbt Labs,Feb-22,FOUND,https://www.getdbt.com/blog/dbt-labs-raises-222m-in-series-d-funding-at-4-2b-valuation-led-by-altimeter-with-participation-from-databricks-and-snowflake
upGrad,Aug-21,FOUND,https://techcrunch.com/2021/08/09/india-upgrad-enters-unicorn-club-with-185-million-fundraise/
wefox,May-21,FOUND,https://techcrunch.com/2021/05/31/european-insurtech-startup-wefox-grabs-650-million-at-3-billion-valuation/
