# LATEST ANNUAL COMPANY-REPORTED GMV AND TRANSACTION-VALUE METRICS.
# Supplied by Daniil 30-Aug-2026 as screenshots of a research sheet answering the outstanding
# volume-metrics list in docs/sourcing-volume-metrics.md. Transcribed the same session.
#
# HOW TO READ THE STATUS COLUMN. Disclosed means the issuer itself publishes a monetary gross
# transaction figure and the sheet carries its exact words. Not disclosed means the issuer reports
# revenue and often unit volumes (parcels, shipments, tonnes, subscribers) but never a monetary
# gross figure. Excluded means the business model does not have one to report: a first-party
# retailer, a carrier moving other people's goods, a subscription seller. Excluded is a CONCLUSION,
# not a gap, and those names should never come back onto the sourcing list.
#
# metric_category separates CORE GMV (the marketplace's own transaction value, the number a founder
# in that model would quote) from ADJACENT GROSS VOLUME (a payments or lending throughput figure
# that is a real disclosure but is not GMV and must not be pooled with GMV multiples).
company_name,exchange_ticker,status,metric_category,issuer_metric_name,fiscal_period,reported_value,scale_unit,currency,value_usd_musd,scope,exact_wording,source_url
"United Parcel Service, Inc.",NYSE:UPS,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"FedEx Corporation",NYSE:FDX,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"XPO, Inc.",NYSE:XPO,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"GXO Logistics, Inc.",NYSE:GXO,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"RXO, Inc.",NYSE:RXO,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"C.H. Robinson Worldwide, Inc.",NASDAQ:CHRW,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"Expeditors International of Washington, Inc.",NYSE:EXPD,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"Hub Group, Inc.",NASDAQ:HUBG,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"Radiant Logistics, Inc.",NYSEAM:RLGT,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"Americold Realty Trust, Inc.",NYSE:COLD,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"Lineage, Inc.",NASDAQ:LINE,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"Clarkson PLC",LSE:CKN,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"Tritax Big Box REIT plc",LSE:BBOX,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"Deutsche Post AG",XTRA:DHL,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"ID Logistics Group SA",ENXTPA:IDL,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"STEF SA",ENXTPA:STF,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"PostNL N.V.",ENXTAM:PNL,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"DSV A/S",CPSE:DSV,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"NTG Nordic Transport Group A/S",CPSE:NTG,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"PKP Cargo S.A.",WSE:PKP,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"Yamato Holdings Co., Ltd.",TSE:9064,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"SG Holdings Co.,Ltd.",TSE:9143,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"Nippon Express Holdings, Inc.",TSE:9147,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"Mitsubishi Logistics Corporation",TSE:9301,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"Japan Post Holdings Co., Ltd.",TSE:6178,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"OneMain Holdings, Inc.",NYSE:OMF,EXCLUDED,,,,,,,,,"Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.",
"Funding Circle Holdings plc",LSE:FCH,EXCLUDED,,,,,,,,,"Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.",
"Cembra Money Bank AG",SWX:CMBN,EXCLUDED,,,,,,,,,"Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.",
"Munnova Holdings Co., Ltd.",TSE:547A,EXCLUDED,,,,,,,,,"Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.",
"Tokyo Century Corporation",TSE:8439,EXCLUDED,,,,,,,,,"Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.",
"Lufax Holding Ltd",NYSE:LU,EXCLUDED,,,,,,,,,"Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.",
"Qifu Technology, Inc.",NASDAQ:QFIN,EXCLUDED,,,,,,,,,"Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.",
"Far East Horizon Limited",SEHK:3360,EXCLUDED,,,,,,,,,"Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.",
"Bajaj Finance Limited",NSEI:BAJFINANCE,EXCLUDED,,,,,,,,,"Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.",
"Shriram Finance Limited",NSEI:SHRIRAMFIN,EXCLUDED,,,,,,,,,"Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.",
"Cholamandalam Investment and Finance Company Limited",NSEI:CHOLAFIN,EXCLUDED,,,,,,,,,"Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.",
"Five-Star Business Finance Limited",NSEI:FIVESTAR,EXCLUDED,,,,,,,,,"Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.",
"Judo Capital Holdings Limited",ASX:JDO,EXCLUDED,,,,,,,,,"Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.",
"Pepper Money Limited",ASX:PPM,EXCLUDED,,,,,,,,,"Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.",
"Banco Pan S.A.",BOVESPA:BPAN4,EXCLUDED,,,,,,,,,"Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.",
"Banco BMG S.A.",BOVESPA:BMGB4,EXCLUDED,,,,,,,,,"Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.",
"Garanti Faktoring A.S.",IBSE:GARFA,EXCLUDED,,,,,,,,,"Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.",
"Is Finansal Kiralama A.S.",IBSE:ISFIN,EXCLUDED,,,,,,,,,"Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.",
"OSB Group Plc",LSE:OSB,EXCLUDED,,,,,,,,,"Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.",
"Time Finance plc",AIM:TIME,EXCLUDED,,,,,,,,,"Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.",
"Distribution Finance Capital Holdings plc",AIM:DFCH,EXCLUDED,,,,,,,,,"Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.",
"Orchard Funding Group plc",AIM:ORCH,EXCLUDED,,,,,,,,,"Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.",
"Grenke AG",XTRA:GLJ,EXCLUDED,,,,,,,,,"Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.",
"BFF Bank S.p.A.",BIT:BFF,EXCLUDED,,,,,,,,,"Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.",
"KRUK Spolka Akcyjna",WSE:KRU,EXCLUDED,,,,,,,,,"Balance-sheet lender: originations and loan book are the scale measures and neither is a payments or marketplace transaction value.",
"Verisure plc",OM:VSURE,EXCLUDED,,,,,,,,,"Consumer subscription or monitoring service: recurring revenue is the whole model and no gross transaction value exists.",
