exchange_ticker	company_name	family	archetype	what_is_needed
NYSE:WD	Walker & Dunlop, Inc.	fintech	Wealth & Capital Markets Platform	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQ:WRLD	World Acceptance Corporation	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
ENXTPA:WLN	Worldline SA	fintech	Merchant Acquiring & PSP	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQGS:CASS	Cass Information Systems	software	Business Applications	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
ENXTPA:DSY	Dassault Systemes SE	software	Design & Engineering	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:DBD	Diebold Nixdorf, Incorporated	software	Commerce & Payments Software	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQGS:LZ	LegalZoom.com, Inc.	software	Vertical Software	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:NATL	NCR Atleos Corporation	software	Commerce & Payments Software	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
SEHK:0327	PAX Global Technology	software	Commerce & Payments Software	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:PAY	Paymentus Holdings	software	Commerce & Payments Software	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:PHR	Phreesia, Inc.	software	Vertical Software	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:SMWB	Similarweb Ltd.	software	Data, AI & Developer Tools	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQGS:WAY	Waystar Holding Corp.	software	Vertical Software	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NSEI:ZAGGLE	Zaggle Prepaid Ocean Services	software	Business Applications	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQGS:GTM	ZoomInfo Technologies Inc.	software	Data, AI & Developer Tools	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
