#,fixture,what it says it is,archetype,listed comparables,private comparables,flags,VERDICT (Daniil)
96,befreed,Learn anything with your own personal audio agent,Online Learning,"partial, 4 priced: Duolingo, Inc., Coursera, Inc., Chegg, Inc., JustSystems Corporation, Nerdy Inc.","thin, 2 priced: Udemy, Vedantu, upGrad, MasterClass",,
97,tsenta,AI career agent that finds matching jobs and applies on your behalf,Freelance & Services Marketplace,"partial, 3 priced: hipages Group Holdings, Robert Walters plc, Bengo4.com, Inc.","-, 0 priced: Mercor, Micro1",,
98,standout,Agentic hiring marketplace,Freelance & Services Marketplace,"partial, 3 priced: Upwork Inc., SMS Co., Ltd., SEEK Limited","-, 0 priced: Mercor, Micro1, Jobandtalent",,
99,clera,An AI agent matching candidates to the right roles,Freelance & Services Marketplace,"partial, 2 priced: Upwork Inc., Visional, Inc.","-, 0 priced: Mercor, Micro1",,
100,hop-aero,Autonomous rocket cargo delivery to contested environments in minutes,Local Delivery & On-Demand,"thin, 7 priced: FedEx Corporation, United Parcel Service, SG Holdings Co., Ltd., PostNL N.V., S.F. Holding Co., Ltd., Blue Dart Express Limited, Deutsche Post AG","thin, 4 priced: Flink, Xpressbees, Glovo, Wolt, Gopuff, Delhivery",out of market,
101,ultrasonium,"Metal manufacturing, faster, cheaper and more versatile",Owned-Inventory Retail,"thin, 3 priced: PTC Inc., Dassault Systemes SE, Lectra SA","thin, 1 priced: Octopus Energy Group, Berkshire Grey, Enpal",out of market,
102,apollo-atomics,We make the most compact nuclear reactors,Owned-Inventory Retail,"-, 0 priced: PSI Software SE, Indian Energy Exchange Limited, MONY Group plc","-, 0 priced: Octopus Energy Group, Enpal",out of market,
103,orca-aerospace,AI spacecraft operators that lives onboard the vehicle,Vertical Software,"partial, 3 priced: Samsara Inc., Constellation Software Inc., Rubrik, Inc.","partial, 3 priced: Owner, Applied Intuition, Guesty, Restaurant365","STRUCK: Daniil, 8 Sep 2026: aerospace on restaurant rounds goes straight on the No-comps list. Shown Samsara, Constellation Software and Rubrik (listed) on the words operations, mission and recovery, and Owner, Guesty and Restaurant365 (private); none operates spacecraft.",
104,simulithic,Simulate how any product change will perform before shipping.,"Data, AI & Developer Tools","shared product, 6 priced: Amplitude, Inc., Similarweb Ltd., Red Violet, Inc., Qt Group Oyj, Sprout Social, Inc., Palantir Technologies Inc.","shared product, 6 priced: Contentsquare, Applied Intuition, Databricks, dbt Labs, 6sense, Algolia, Buffer",,
105,qokedas,Data for AI Science,"Data, AI & Developer Tools","thin, 2 priced: Snowflake Inc., Palantir Technologies Inc.","shared product, 6 priced: Invisible Technologies, Oxylabs, Confluent, Scale AI, Turing, Databricks, Bright Data (Luminati)",,
106,lambda-robotics,Robotics for AI Infrastructure,Design & Engineering,"partial, 3 priced: Bentley Systems, Incorporated, Samsara Inc., UiPath, Inc.","thin, 1 priced: Vention, Applied Intuition",,
107,quippy,Helps build social skills through daily practice,Online Learning,"partial, 3 priced: Duolingo, Inc., Coursera, Inc., JustSystems Corporation, Nerdy Inc.","thin, 3 priced: WHOOP, Udemy, Oura, Vedantu, upGrad, MasterClass",,
108,herdr,building the open agent runtime,"Data, AI & Developer Tools","shared product, 6 priced: Qt Group Oyj, GitLab Inc., Datadog, Inc., DigitalOcean Holdings, Inc., Cloudflare, Inc., Progress Software Corporation","shared product, 6 priced: Docker, Oxylabs, Anthropic, Lovable, Confluent, LangChain, Supabase",,
109,vorelios,AI that simulates physics 1000x faster,"Data, AI & Developer Tools","thin, 7 priced: GB Group plc, SoundHound AI, Inc., Dynatrace, Inc., Snowflake Inc., Elastic N.V., LiveRamp Holdings, Inc., Zeta Global Holdings Corp.","strong, 5 priced: Anthropic, Clay, Applied Intuition, Databricks, Cohere","STRUCK: Fable, 8 Sep 2026, on Daniil's ruling of the same day: the listed lane is the archetype fallback (GB Group, SoundHound, Dynatrace, Snowflake) and the private lane is Anthropic, Clay, Applied Intuition, Databricks and Cohere on the words ai and engineering; no engineering-simulation company is in the pool.",
110,nodus-compute,Intelligent execution layer for AI workloads,Cloud & Infrastructure,"partial, 5 priced: DigitalOcean Holdings, Inc., Cloudflare, Inc., Datadog, Inc., Fastly, Inc., IONOS Group SE","partial, 6 priced: Oxylabs, Anthropic, Clay, Confluent, Lovable, Supabase, LangChain",,
111,openrelay,"Distributed, hardware-agnostic AI inference",Cloud & Infrastructure,"partial, 6 priced: DigitalOcean Holdings, Inc., Cloudflare, Inc., Backblaze, Inc., Datadog, Inc., Fastly, Inc., IONOS Group SE","partial, 6 priced: Oxylabs, Anthropic, Confluent, Replit, Turing, Vercel, Bright Data (Luminati)",,
112,praxis-robotics,Turns real businesses into robotics data vendors,"Data, AI & Developer Tools","thin, 2 priced: Snowflake Inc., Palantir Technologies Inc.","strong, 6 priced: Oxylabs, Invisible Technologies, Scale AI, Applied Intuition, Turing, Databricks, Bright Data (Luminati)",,
113,subvysion,Autonomous rovers to make the 'Google Maps' of underground utilities,Design & Engineering,"partial, 3 priced: Nemetschek SE, Procore Technologies, Inc., Bentley Systems, Incorporated, Autodesk, Inc., Trimble Inc.","thin, 5 priced: Owner, Mews, Canva, Sapiens International, Clio, Guesty, TravelPerk",,
114,derya,AI Brokers for Industrial Trade,Supply Chain & Logistics Software,"partial, 3 priced: Kinaxis Inc., Manhattan Associates, Inc., SPS Commerce, Inc.","partial, 7 priced: Ramp, E2open, Vanta, FloQast, Restaurant365, Spendesk, Brex",,
115,chromie,We help startups win gov contracts,Vertical Software,"thin, 4 priced: HubSpot, Inc., Tyler Technologies, Inc., Salesforce, Inc., i3 Verticals, Inc., Atlassian Corporation, Via Transportation, Inc., IVU Traffic Technologies AG","partial, 6 priced: Notion, Harvey, Glean, Vanta, AuditBoard, FloQast, Restaurant365",,
116,opentag,Model Agnostic Claude Tag,Business Applications,"partial, 5 priced: monday.com Ltd., Asana, Inc., HubSpot, Inc., BlackLine, Inc., Salesforce, Inc.","strong, 7 priced: Notion, Glean, AuditBoard, FloQast, Restaurant365, Brex, Miro",,
117,princeps,AI-native insurance company for the compute economy,Insurance Technology,"thin, 3 priced: Crawford & Company, Trupanion, Inc., CCC Intelligent Solutions Holdings Inc.","thin, 2 priced: Sapiens International, Wefox, Coalition, The Zebra",,
118,markov,Expert computer-use data for frontier AI labs,"Data, AI & Developer Tools","thin, 7 priced: Snowflake Inc., Elastic N.V., Dynatrace, Inc., GB Group plc, MongoDB, Inc., Palantir Technologies Inc., Teradata Corporation","partial, 4 priced: Invisible Technologies, Scale AI, Turing, Weights & Biases, AlphaSense, Bright Data (Luminati)",,
119,ornadyne,We're building robot birds for surveillance.,Design & Engineering,"-, 0 priced: Via Transportation, Inc., i3 Verticals, Inc., Tyler Technologies, Inc., IVU Traffic Technologies AG","thin, 3 priced: Vention, Canva, Applied Intuition, Figma",out of market,
120,panacea,AI-Native FDA Regulatory Services,Vertical Software,"partial, 7 priced: Evolent Health, Inc., Progyny, Inc., Veeva Systems Inc., Claritev Corporation, Tecsys Inc., Phreesia, Inc., Waystar Holding Corp.","thin, 3 priced: Accolade, Aledade, Incredible Health, Doctolib, Cityblock Health, Thirty Madison, Virta Health",,
121,gigacatalyst,AI-first embedded analytics and reports for customer success,"Data, AI & Developer Tools","partial, 6 priced: Amplitude, Inc., Similarweb Ltd., Red Violet, Inc., LiveRamp Holdings, Inc., Palantir Technologies Inc., Teradata Corporation, Rezolve AI PLC","partial, 6 priced: Sierra, Decagon, Lovable, Replit, Databricks, HiBob, Aledade",,
122,raspire,Autonomous Runtime Security,Cybersecurity,"partial, 7 priced: Rapid7, Inc., SentinelOne, Inc., A10 Networks, Inc., Zscaler, Inc., Fortinet, Inc., Netskope, Inc., Rubrik, Inc.","partial, 4 priced: Abnormal Security, Vanta, Huntress, Wiz, Cyera, Cato Networks, Snyk",,
123,playabl,TikTok for User-generated Games,Gaming & Virtual Economy,"strong, 3 priced: Roblox Corporation, Netflix, Inc., The New York Times Company","shared product, 2 priced: Epic Games, Dream Sports, Voodoo, Patreon, Roblox, Suno",,
124,aster,Automating open-ended research.,"Data, AI & Developer Tools","partial, 3 priced: Similarweb Ltd., Datadog, Inc., UiPath, Inc.","strong, 6 priced: Oxylabs, Anthropic, Sierra, Legora, Decagon, LangChain, Invisible Technologies",,
125,auxos,Simulations of real people for market research,Marketing & Customer Engagement,"partial, 7 priced: Similarweb Ltd., ZoomInfo Technologies Inc., Sprinklr, Inc., Braze, Inc., HubSpot, Inc., LiveRamp Holdings, Inc., Text S.A.","partial, 7 priced: Sierra, Legora, Decagon, Clay, Semrush, Genspark, Perplexity",,
126,lattice-health,Monitoring and governance for deployed medical imaging AI,Vertical Software,"partial, 7 priced: Claritev Corporation, Waystar Holding Corp., Phreesia, Inc., Consensus Cloud Solutions, Inc., Weave Communications, Inc., Tecsys Inc., Veeva Systems Inc.","thin, 3 priced: Accolade, Aledade, Incredible Health, Doctolib, Devoted Health, Cityblock Health, Thirty Madison",,
127,turnstone,Work with agents that already know you,Consumer & Prosumer Software,"partial, 5 priced: Dropbox, Inc., Opera Limited, Truecaller AB (publ), Life360, Inc., F-Secure Oyj","partial, 3 priced: Suno, Notion, Genspark, OpenAI",,
128,constellation-space,AI operating system for mega-scale satellite networks.,Vertical Software,"thin, 3 priced: Samsara Inc., Constellation Software Inc., Lumine Group Inc., Amdocs Limited, Cerillion Plc, Oracle Corporation","thin, 2 priced: Owner, Guesty, Restaurant365","STRUCK: Daniil, 8 Sep 2026: aerospace on restaurant rounds goes straight on the No-comps list. Shown Samsara and Constellation Software (listed, on the words operations and mission) beside Amdocs and Cerillion (telecom software, fair), and Owner, Guesty and Restaurant365 (private); nothing in the pool runs a satellite network.",
129,foreman,"Keeping contractors on the job site, not behind a desk.",Vertical Software,"strong, 3 priced: Procore Technologies, Inc., Trimble Inc., Samsara Inc.","thin, 3 priced: Owner, Legora, Harvey, Guesty, Restaurant365",,
130,daivin,"Tankless Dive Gear - Breath Autonomy at Sea, Land & Space",Design & Engineering,"thin, 7 priced: Bentley Systems, Incorporated, PTC Inc., Dassault Systemes SE, Autodesk, Inc., Figma, Inc., Lectra SA, Nemetschek SE","thin, 3 priced: Vention, Applied Intuition, Figma, Miro","out of market; STRUCK: Fable, 8 Sep 2026, on Daniil's ruling of the same day: both lanes are the archetype fallback on Design & Engineering, so dive gear was shown Bentley, PTC, Dassault, Autodesk and Figma (listed) and Vention, Applied Intuition, Figma and Miro (private). The pool holds no hardware maker.",
131,fed10,AI Agents for Government Affairs,Vertical Software,"thin, 3 priced: Intapp, Inc., LegalZoom.com, Inc., Samsara Inc.","thin, 4 priced: Legora, Harvey, Clio, AuditBoard, Restaurant365",,
132,veriad,Enterprise marketing agents,Marketing & Customer Engagement,"partial, 7 priced: Sprinklr, Inc., Braze, Inc., Zeta Global Holdings Corp., ZoomInfo Technologies Inc., Workiva Inc., Yext, Inc., HubSpot, Inc.","strong, 6 priced: Semrush, E2open, Writer, AuditBoard, FloQast, OneTrust, Jasper",,
133,zymbly,The decision-support layer for aviation ops teams to know what to do,Vertical Software,"thin, 5 priced: Samsara Inc., Constellation Software Inc., Roper Technologies, Inc., Topicus.com Inc., Vitec Software Group AB (publ)","thin, 2 priced: TravelPerk, Owner, Guesty, Restaurant365, Doctolib","STRUCK: Daniil, 8 Sep 2026: aviation on restaurant rounds goes straight on the No-comps list. Shown Samsara, BlackLine and Blackbaud (listed, on the words operations, software and to) and TravelPerk, Owner, Guesty, Restaurant365, Doctolib and Ro (private); only TravelPerk shares the end market and none does aircraft maintenance.",
134,remix,Social media content auto-generated with your existing data,Consumer & Prosumer Software,"thin, 7 priced: Opera Limited, Truecaller AB (publ), Life360, Inc., Gen Digital Inc., F-Secure Oyj, Dropbox, Inc., Xperi Inc.","strong, 5 priced: Suno, Gamma, Genspark, Framer, Strava, OpenAI, ElevenLabs",,
135,brandjet,Turn public buying signals into sales pipeline,Marketing & Customer Engagement,"shared product, 5 priced: HubSpot, Inc., Klaviyo, Inc., Braze, Inc., Zeta Global Holdings Corp., Salesforce, Inc.","shared product, 6 priced: Mailchimp, Klaviyo, Clay, Semrush, Apollo.io, Jasper, 6sense",,
136,myaicademy,Learn AI skills for your specific role and team,Online Learning,"partial, 6 priced: Skillsoft Corp., D2L Inc., Duolingo, Inc., Coursera, Inc., Docebo Inc., Chegg, Inc., Nerdy Inc.","partial, 3 priced: Udemy, Learning Technologies Group, LEAD School, Vedantu, upGrad, MasterClass",,
137,airtop,Build agents that heal themselves.,"Data, AI & Developer Tools","strong, 7 priced: monday.com Ltd., Datadog, Inc., Wix.com Ltd., HubSpot, Inc., Dynatrace, Inc., Snowflake Inc., Similarweb Ltd.","strong, 7 priced: Oxylabs, Anthropic, Sierra, Clay, Notion, Decagon, Lovable",,
138,world-labs,"Turn text, pics, video, + 3D into camera-controlled HD video","Data, AI & Developer Tools","partial, 3 priced: GB Group plc, Palantir Technologies Inc., Agora, Inc.","shared product, 2 priced: Anthropic, OpenAI, Cohere",,
139,browzer,Put your technical content on autopilot,Marketing & Customer Engagement,"partial, 5 priced: HubSpot, Inc., Klaviyo, Inc., Yext, Inc., Zeta Global Holdings Corp., Braze, Inc.","strong, 5 priced: Semrush, Anysphere / Cursor, OpenAI, Writer, Jasper, Docker, 6sense",,
140,magicrew,Give everyone their own AI workforce in one platform,Business Applications,"partial, 5 priced: Wix.com Ltd., monday.com Ltd., Asana, Inc., UiPath, Inc., ServiceNow, Inc.","strong, 6 priced: Notion, Lovable, Genspark, LangChain, Supabase, Replit, Anysphere / Cursor",,
141,twelvelabs,Video compliance review powered by rules you control,"Data, AI & Developer Tools","thin, 7 priced: Elastic N.V., Snowflake Inc., Palantir Technologies Inc., Qt Group Oyj, Coveo Solutions Inc., C3.ai, Inc., LiveRamp Holdings, Inc.","shared product, 2 priced: Anthropic, OpenAI, Cohere",,
142,dif-sh,Markdown feature flags your coding agent installs for you,"Data, AI & Developer Tools","shared product, 5 priced: Amplitude, Inc., GitLab Inc., Datadog, Inc., Qt Group Oyj, Snowflake Inc.","strong, 6 priced: Oxylabs, Anthropic, Confluent, Lovable, Supabase, LangChain, Replit",,
