# Fairway investor table. One row per house. Built by tools/build_investors_table.py.
# Checked by tools/investor_check.py, which is the gate on what may render.
#
# TWO LAYERS AND THEY MUST NOT BE BLENDED.
#   EVIDENCE  the houses behind a founder's own reference rounds, generated from the same files
#             the football field comes from. Every deal carries company, month and the round's own
#             source URL. Honest label: a map of who pays up for businesses like yours, mostly
#             growth-stage and mostly US. NOT a call list for a seed round.
#   CALLABLE  funds writing first cheques in the founder's sector now. Seeded from the 19 UK funds
#             curated in data-content.js and DELIBERATELY INCOMPLETE: no dated deal, no source URL,
#             so the checker refuses them. That refusal is the pull list, not a bug.
#
# THE ACTIVITY RULE, taken from vcconf and binding here: a CALLABLE investor renders only with at
# least one named, dated deal inside 12 months WITH a source URL, a first-cheque range, a stage,
# a sector in our vocabulary, a geography and a one-line thesis. A row missing any of those does
# not render. Same discipline as comps sourcing: a figure with no source does not exist.
#
# COMPLIANCE, binding on every rendering of both layers: public information only, nothing behind
# a login, no contact details, no claim of introduction. The footer line carries onto every card:
# a map, not an introduction; no affiliation or endorsement is implied. Styled text wordmarks,
# never logos.
#
# Never pad to a fixed count. Six good matches beat twelve loose ones.
investor_key,investor_name,house_type,layer,geographies,stage_bands,first_cheque_low_m,first_cheque_high_m,cheque_currency,round_size_low_m,round_size_high_m,thesis_one_liner,deal_evidences_sector,cheque_range_source,sector_deals_file,screening_categories,subsectors,recent_deal_1_company,recent_deal_1_date,recent_deal_1_source_url,recent_deal_2_company,recent_deal_2_date,recent_deal_2_source_url,rounds_in_set,companies_in_set,companies_backed,first_round,last_round,median_round_size_m,median_postmoney_m,last_verified,provenance
fjlabs,FJ Labs,Venture,CALLABLE|EVIDENCE,"US-based, invests globally including Europe",Pre-seed; Seed,0.1,5.0,USD,,,"Global marketplace specialist investing in consumer, B2B and vertical transaction platforms.",1,https://www.fjlabs.com/,data/raw/2026-09-02_seed-investor-screen-v2.csv,Consumer Marketplace; Third-Party Marketplace; B2B Marketplace; Freelance & Services Marketplace,Marketplaces,Liablix?,2025-12,https://www.liablix.com/news/liablix-raises-1-3m-pre-seed,sun.store,2025-06,https://sun.store/blog/sun-store-raises-6-million-seed,1,1,Vinted,2024-10,2025-12,340.0,5000.0,2026-09-02,"SEED SCREEN data/raw/2026-09-02_seed-investor-screen-v2.csv. Cheque range is fund-stated and SOURCED. Deals are SECTOR-MATCHED: two per fund per sector, held one row each in the raw file, and the fund-level card carries the two most recent overall. || also: GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv"
freestylevc,Freestyle VC,,CALLABLE|EVIDENCE,,Series B; Series C,,,USD,2000.0,2000.0,"Joins rounds of $2000m to $2000m in Scraping / Data for AI. Generated from the rounds in our own set, not from a curated list.",,,,Scraping / Data for AI(1),Human-in-the-loop AI data operations(1),Invisible Technologies,2025-09,https://invisibletech.ai/blog/invisible-technologies-raises-100-million,,,,1,1,Invisible Technologies,2025-09,2025-09,100.0,2000.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
googleaifuturesfund,Google AI Futures Fund,,CALLABLE|EVIDENCE,,Series B; Series C,,,USD,3000.0,3000.0,"Joins rounds of $3000m to $3000m in Data, AI & Developer Tools. Generated from the rounds in our own set, not from a curated list.",,,,"Data, AI & Developer Tools(1)",AI coding / cloud development(1),Replit,2025-09,https://replit.com/news/funding-announcement-series-c,,,,1,1,Replit,2025-09,2025-09,250.0,3000.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
greenbay,Green Bay Ventures,,CALLABLE|EVIDENCE,,Growth; Late stage; Crossover,,,USD,17300.0,17300.0,"Joins rounds of $17300m to $17300m in Enterprise Applications. Generated from the rounds in our own set, not from a curated list.",,,,Enterprise Applications(1),"HR, payroll and global workforce(1)",Deel,2025-10,https://www.deel.com/blog/new-investment-valuation/,,,,1,1,Deel,2025-10,2025-10,300.0,17300.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
hof,HOF Capital,,CALLABLE|EVIDENCE,,Series B; Series C,,,USD,2000.0,2000.0,"Joins rounds of $2000m to $2000m in Scraping / Data for AI. Generated from the rounds in our own set, not from a curated list.",,,,Scraping / Data for AI(1),Human-in-the-loop AI data operations(1),Invisible Technologies,2025-09,https://invisibletech.ai/blog/invisible-technologies-raises-100-million,,,,1,1,Invisible Technologies,2025-09,2025-09,100.0,2000.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
janestreet,Jane Street,,CALLABLE|EVIDENCE,,Growth; Late stage; Crossover,,,USD,183000.0,183000.0,"Joins rounds of $183000m to $183000m in Data, AI & Developer Tools. Generated from the rounds in our own set, not from a curated list.",,,,"Data, AI & Developer Tools(1)",Foundation models / generative AI(1),Anthropic,2025-09,https://www.anthropic.com/news/anthropic-raises-series-f-at-usd183b-post-money-valuation,,,,1,1,Anthropic,2025-09,2025-09,13000.0,183000.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
kfund,Kfund,Venture,CALLABLE|EVIDENCE,"Southern Europe and Latin America, especially Spain",Pre-seed; Seed,0.1,3.5,EUR,,,"Pre-seed and seed investor backing Southern European software, including procurement, mobility and logistics infrastructure.",1,https://www.kfund.vc/,data/raw/2026-09-02_seed-investor-screen-v2.csv,Local Delivery & On-Demand; Commerce Enablement & Fulfilment; E-commerce Enablement,Delivery logistics and supply chain,Pollen,2026-05,https://paleblue.vc/portfolio/pollen,Traza?,2026-04,https://cincodias.elpais.com/companias/2026-04-15/la-start-up-traza-cierra-una-ronda-con-base10-y-kfund,1,1,Factorial,2022-10,2026-05,120.0,1000.0,2026-09-02,"SEED SCREEN data/raw/2026-09-02_seed-investor-screen-v2.csv. Cheque range is fund-stated and SOURCED. Deals are SECTOR-MATCHED: two per fund per sector, held one row each in the raw file, and the fund-level card carries the two most recent overall. || also: GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv"
mgx,MGX,,CALLABLE|EVIDENCE,,Growth; Late stage; Crossover,,,USD,380000.0,380000.0,"Joins rounds of $380000m to $380000m in Data, AI & Developer Tools. Generated from the rounds in our own set, not from a curated list.",,,,"Data, AI & Developer Tools(1)",Foundation models / generative AI(1),Anthropic,2026-02,https://www.anthropic.com/news/anthropic-raises-30-billion-series-g-funding-380-billion-post-money-valuation,,,,1,1,Anthropic,2026-02,2026-02,30000.0,380000.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
menloanthology,Menlo Anthology,,CALLABLE|EVIDENCE,,Growth; Late stage; Crossover,,,USD,6600.0,6600.0,"Joins rounds of $6600m to $6600m in Data, AI & Developer Tools. Generated from the rounds in our own set, not from a curated list.",,,,"Data, AI & Developer Tools(1)",AI application development / vibe coding(1),Lovable,2025-12,https://lovable.dev/blog/series-b,,,,1,1,Lovable,2025-12,2025-12,330.0,6600.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
nventures,NVentures,,CALLABLE|EVIDENCE,,Growth; Late stage; Crossover,,,USD,6600.0,6600.0,"Joins rounds of $6600m to $6600m in Data, AI & Developer Tools. Generated from the rounds in our own set, not from a curated list.",,,,"Data, AI & Developer Tools(1)",AI application development / vibe coding(1),Lovable,2025-12,https://lovable.dev/blog/series-b,,,,1,1,Lovable,2025-12,2025-12,330.0,6600.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
northzone,Northzone,Venture,CALLABLE|EVIDENCE,Europe and US,Seed; Series A,1.0,50.0,USD,,,"Multi-stage investor in marketplaces, consumer platforms, fintech and software.",1,https://www.northzone.com/,data/raw/2026-09-02_seed-investor-screen-v2.csv,Consumer Marketplace; Third-Party Marketplace; B2B Marketplace; Freelance & Services Marketplace,Marketplaces,Brickanta?,2026-02,https://www.brickanta.com/news/brickanta-raises-8m-seed,CarOnSale,2025-06,https://www.northzone.com/insights/building-blocks-a-portrait-of-caronsales-tom-kruger,1,1,Flink,2024-09,2026-02,150.0,1000.0,2026-09-02,"SEED SCREEN data/raw/2026-09-02_seed-investor-screen-v2.csv. Cheque range is fund-stated and SOURCED. Deals are SECTOR-MATCHED: two per fund per sector, held one row each in the raw file, and the fund-level card carries the two most recent overall. || also: GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv"
notidentifiedinanysource,Not identified in any source,,CALLABLE|EVIDENCE,,Series B; Series C,,,USD,20000.0,20000.0,"Joins rounds of $20000m to $20000m in Data, AI & Developer Tools. Generated from the rounds in our own set, not from a curated list.",,,,"Data, AI & Developer Tools(1)",AI search / answer engine(1),Perplexity,2025-09,https://www.pymnts.com/artificial-intelligence-2/2025/perplexity-valuation-hits-20-billion-following-new-funding-round/,,,,1,1,Perplexity,2025-09,2025-09,200.0,20000.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
notion,Notion Capital,Venture,CALLABLE|EVIDENCE,UK-based; Europe-focused,Seed; Series A,1.0,8.0,EUR,,,Series A-focused investor in European B2B SaaS and cloud software; its published first-cheque range is EUR 1m-8m.,1,https://www.notioncapital.com/fund-iv,data/raw/2026-09-02_seed-investor-screen-v2.csv,"Enterprise Applications; Data, AI & Developer Tools; Vertical Software; Cloud & Infrastructure Software",B2B software and AI tooling,Kraken,2026-07,https://www.notioncapital.com/resources/why-we-invested-in-kraken,Pivot,2026-05,https://www.notioncapital.com/resources/why-we-invested-in-pivot,1,1,Mews,2024-03,2026-07,110.0,1200.0,2026-09-02,"SEED SCREEN data/raw/2026-09-02_seed-investor-screen-v2.csv. Cheque range is fund-stated and SOURCED. Deals are SECTOR-MATCHED: two per fund per sector, held one row each in the raw file, and the fund-level card carries the two most recent overall. || also: GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv"
ontarioteachers,Ontario Teachers,,CALLABLE|EVIDENCE,,Growth; Late stage; Crossover,,,USD,183000.0,183000.0,"Joins rounds of $183000m to $183000m in Data, AI & Developer Tools. Generated from the rounds in our own set, not from a curated list.",,,,"Data, AI & Developer Tools(1)",Foundation models / generative AI(1),Anthropic,2025-09,https://www.anthropic.com/news/anthropic-raises-series-f-at-usd183b-post-money-valuation,,,,1,1,Anthropic,2025-09,2025-09,13000.0,183000.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
ontarioteachersventuregrowth,Ontario Teachers' Venture Growth,,CALLABLE|EVIDENCE,,Growth; Late stage; Crossover,,,USD,8000.0,8000.0,"Joins rounds of $8000m to $8000m in Consumer Marketplace. Generated from the rounds in our own set, not from a curated list.",,,,Consumer Marketplace(1),Fashion resale marketplace(1),Vinted,2026-04,company.vinted.com/newsroom/financial-results-2025,,,,1,1,Vinted,2026-04,2026-04,880.0,8000.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
prysm,Prysm,,CALLABLE|EVIDENCE,,Series B; Series C,,,USD,3000.0,3000.0,"Joins rounds of $3000m to $3000m in Data, AI & Developer Tools. Generated from the rounds in our own set, not from a curated list.",,,,"Data, AI & Developer Tools(1)",AI coding / cloud development(1),Replit,2025-09,https://replit.com/news/funding-announcement-series-c,,,,1,1,Replit,2025-09,2025-09,250.0,3000.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
schroders,Schroders Capital,,CALLABLE|EVIDENCE,,Growth; Late stage; Crossover,,,USD,8000.0,8000.0,"Joins rounds of $8000m to $8000m in Consumer Marketplace. Generated from the rounds in our own set, not from a curated list.",,,,Consumer Marketplace(1),Fashion resale marketplace(1),Vinted,2026-04,company.vinted.com/newsroom/financial-results-2025,,,,1,1,Vinted,2026-04,2026-04,880.0,8000.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
southparkcommons,South Park Commons,,CALLABLE|EVIDENCE,,Series A; Series B,,,USD,2100.0,2100.0,"Joins rounds of $2100m to $2100m in Personal Software / Productivity. Generated from the rounds in our own set, not from a curated list.",,,,Personal Software / Productivity(1),AI presentations and documents(1),Gamma,2025-11,https://www.businesswire.com/news/home/20251110805751/en/Gamma-Surpasses-$100M-ARR-Raises-at-$2.1B-Valuation-as-It-Replaces-PowerPoint-for-the-AI-Era,,,,1,1,Gamma,2025-11,2025-11,68.0,2100.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
uncork,Uncork Capital,,CALLABLE|EVIDENCE,,Series A; Series B,,,USD,2100.0,2100.0,"Joins rounds of $2100m to $2100m in Personal Software / Productivity. Generated from the rounds in our own set, not from a curated list.",,,,Personal Software / Productivity(1),AI presentations and documents(1),Gamma,2025-11,https://www.businesswire.com/news/home/20251110805751/en/Gamma-Surpasses-$100M-ARR-Raises-at-$2.1B-Valuation-as-It-Replaces-PowerPoint-for-the-AI-Era,,,,1,1,Gamma,2025-11,2025-11,68.0,2100.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
vanara,Vanara Capital,,CALLABLE|EVIDENCE,,Series B; Series C,,,USD,2000.0,2000.0,"Joins rounds of $2000m to $2000m in Scraping / Data for AI. Generated from the rounds in our own set, not from a curated list.",,,,Scraping / Data for AI(1),Human-in-the-loop AI data operations(1),Invisible Technologies,2025-09,https://invisibletech.ai/blog/invisible-technologies-raises-100-million,,,,1,1,Invisible Technologies,2025-09,2025-09,100.0,2000.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
wcm,WCM,,CALLABLE|EVIDENCE,,Growth; Late stage; Crossover,,,USD,183000.0,183000.0,"Joins rounds of $183000m to $183000m in Data, AI & Developer Tools. Generated from the rounds in our own set, not from a curated list.",,,,"Data, AI & Developer Tools(1)",Foundation models / generative AI(1),Anthropic,2025-09,https://www.anthropic.com/news/anthropic-raises-series-f-at-usd183b-post-money-valuation,,,,1,1,Anthropic,2025-09,2025-09,13000.0,183000.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
13books,13books Capital,Venture,CALLABLE,UK/Europe,Seed; Series A,0.5,5.0,GBP,,,"European fintech specialist investing from seed in banking, lending and financial infrastructure.",1,https://www.13books.com/,data/raw/2026-09-02_seed-investor-screen-v2.csv,Digital Bank & Deposits; Lending & Credit,Digital banking and lending,Aria,2026-03,https://www.13books.com/insights/why-we-invested-in-aria,Yonder,2025-04,https://www.yonder.com/blog/series-b,0,0,,,2026-03,,,2026-09-02,"SEED SCREEN data/raw/2026-09-02_seed-investor-screen-v2.csv. Cheque range is fund-stated and SOURCED. Deals are SECTOR-MATCHED: two per fund per sector, held one row each in the raw file, and the fund-level card carries the two most recent overall."
ada,Ada Ventures,Venture,CALLABLE,UK,Pre-seed; Seed; Series A,0.25,1.5,GBP,,,Healthy ageing and economic empowerment theses. £250k to £1.5M.,,,,Climate & Energy; Healthcare,Climate / Energy; Healthtech / Digital health,Cascade,2026-07,https://techcrunch.com/2026/07/22/cascade-raises-3-5m-to-help-construction-firms-find-and-win-projects/,Gizmo,2026-04,https://techcrunch.com/2026/04/15/ai-learning-app-gizmo-levels-up-with-13m-users-and-a-22m-investment/,0,0,,,,,,,SEEDED from data-content.js. Needs two dated deals with source URLs.
airstreet,Air Street Capital,Venture,CALLABLE,"UK-based, invests across Europe and North America",Seed; Series A,0.5,15.0,USD,,,"AI-first specialist investing in software, developer infrastructure, security and science; stated early-stage range is $500k-$15m.",1,https://press.airstreet.com/,data/raw/2026-09-02_seed-investor-screen-v2.csv,"Enterprise Applications; Data, AI & Developer Tools; Vertical Software; Cloud & Infrastructure Software",B2B software and AI tooling,Alta Ares,2026-06,https://press.airstreet.com/p/alta-ares-series-a,Perceptic,2026-05,https://press.airstreet.com/p/introducing-perceptic,0,0,,,2026-06,,,2026-09-02,"SEED SCREEN data/raw/2026-09-02_seed-investor-screen-v2.csv. Cheque range is fund-stated and SOURCED. Deals are SECTOR-MATCHED: two per fund per sector, held one row each in the raw file, and the fund-level card carries the two most recent overall."
albionvc,AlbionVC,Venture,CALLABLE,UK/Europe,Series A,2.0,8.0,GBP,,,"UK healthtech investor in digital care delivery, clinical infrastructure and technology-enabled therapeutics.",1,https://albion.vc/,data/raw/2026-09-02_seed-investor-screen-v2.csv,Healthcare,Healthcare and digital health,Flok Health,2026-06,https://albion.vc/spotlight/news/flok-health-raises-12-5m-to-scale-the-worlds-first-ai-clinician/,Evaro?,2026-01,https://albion.vc/spotlight/news/evaro-raises-25m-series-a/,0,0,,,2026-06,,,2026-09-02,"SEED SCREEN data/raw/2026-09-02_seed-investor-screen-v2.csv. Cheque range is fund-stated and SOURCED. Deals are SECTOR-MATCHED: two per fund per sector, held one row each in the raw file, and the fund-level card carries the two most recent overall."
altai,Altai Ventures,Venture,CALLABLE,"US-based, North America and Europe",Pre-seed; Seed,0.2,2.0,USD,,,"Early-stage insurtech investor focused on distribution, underwriting, claims and risk infrastructure.",1,https://www.altaiventures.com/,data/raw/2026-09-02_seed-investor-screen-v2.csv,Insurance,Insurance,FurtherAI,2025-10,https://www.furtherai.com/blog/furtherai-raises-series-c,Federato,2025-09,https://www.federato.ai/news/federato-raises-series-c,0,0,,,2025-10,,,2026-09-02,"SEED SCREEN data/raw/2026-09-02_seed-investor-screen-v2.csv. Cheque range is fund-stated and SOURCED. Deals are SECTOR-MATCHED: two per fund per sector, held one row each in the raw file, and the fund-level card carries the two most recent overall."
anthemis,Anthemis,Venture,CALLABLE,UK/Europe and North America,Seed; Series A,1.0,5.0,USD,,,"Financial-services specialist backing insurance infrastructure, embedded protection and technology-led risk businesses.",1,https://www.anthemis.com/,data/raw/2026-09-02_seed-investor-screen-v2.csv,Insurance,Insurance,Gangkhar?,2026-03,https://www.anthemis.com/insights/gangkhar/,Reserv,2025-06,https://www.reserv.com/news/reserv-raises-25-million,0,0,,,2026-03,,,2026-09-02,"SEED SCREEN data/raw/2026-09-02_seed-investor-screen-v2.csv. Cheque range is fund-stated and SOURCED. Deals are SECTOR-MATCHED: two per fund per sector, held one row each in the raw file, and the fund-level card carries the two most recent overall."
ascension,Ascension,Venture,CALLABLE,"UK-focused; can invest across the UK, Europe and North America",Pre-seed; Seed,0.15,0.85,GBP,,,Pre-seed and seed investor with a consumer-led strategy for technology serving mass-market users; stated cheque range is GBP 150k-850k.,1,https://www.ascension.vc/,data/raw/2026-09-02_seed-investor-screen-v2.csv,D2C / Consumer Brand; Consumer Brand; Owned-Inventory Retail,Consumer brands and D2C,Hosel?,2026-07,https://www.ascension.vc/insights/summer-newsletter-2026,Better Nature,2025-08,https://www.foodmanufacture.co.uk/Article/2025/08/06/better-nature-raises-11m-to-accelerate-growth,0,0,,,2026-07,,,2026-09-02,"SEED SCREEN data/raw/2026-09-02_seed-investor-screen-v2.csv. Cheque range is fund-stated and SOURCED. Deals are SECTOR-MATCHED: two per fund per sector, held one row each in the raw file, and the fund-level card carries the two most recent overall."
backedvc,Backed VC,Venture,CALLABLE,UK,Pre-seed; Seed; Series A,0.5,5.0,USD,,,Manufacturing and automation alongside frontier tech. $500k to $5M.,,,,Commerce Enablement & Fulfilment; Life Sciences; Local Delivery & On-Demand,Biotech / Life sciences; Logistics / Supply chain,Round,2026-04,https://www.finsmes.com/2026/04/round-raises-6m-in-seed-funding.html,Novogaia,2026-01,https://www.backed.vc/insights/developing-new-medicines-from-fungi-using-ai,0,0,,,,,,,SEEDED from data-content.js. Needs two dated deals with source URLs.
cherry,Cherry Ventures,Venture,CALLABLE,Europe-focused,Series A,2.0,7.0,EUR,,,"Pre-seed-Series A investor across software, AI and frontier technology; stated cheque range is EUR 2m-7m.",1,https://cherry.vc/about/,data/raw/2026-09-02_seed-investor-screen-v2.csv,"Enterprise Applications; Data, AI & Developer Tools; Vertical Software; Cloud & Infrastructure Software; Consumer Marketplace; Third-Party Marketplace; B2B Marketplace; Freelance & Services Marketplace",B2B software and AI tooling; Marketplaces,Entire,2026-07,https://cherry.vc/news/the-fourth-generation-of-version-control,Zaro,2026-06,https://www.cherry.vc/news/shared-memory-for-ai-agents,0,0,,,2026-07,,,2026-09-02,"SEED SCREEN data/raw/2026-09-02_seed-investor-screen-v2.csv. Cheque range is fund-stated and SOURCED. Deals are SECTOR-MATCHED: two per fund per sector, held one row each in the raw file, and the fund-level card carries the two most recent overall."
concept,Concept Ventures,Venture,CALLABLE,UK,Pre-seed; Seed; Series A,1.0,1.0,GBP,,,"AI, deep tech and infrastructure software. Around £1M average first cheque.",,,,"Business Applications; Cloud & Infrastructure; Data, AI & Developer Tools; Vertical Software",AI / ML; Deeptech / Hardware; Proptech; SaaS / B2B software,Archestra.AI,2026-06,https://archestra.ai/blog/archestra-announces-10m-seed,Dex,2026-04,https://fortune.com/2026/04/28/exclusive-dex-ai-powered-recruiting-startup-raises-seed-round-notion-capital/,0,0,,,,,,,SEEDED from data-content.js. Needs two dated deals with source URLs.
connect,Connect Ventures,Venture,CALLABLE,UK/Europe-based; Europe-focused,Seed; Series A,0.5,5.0,USD,,,"Seed investor in product-led companies, including AI-native applications and software infrastructure; stated lead/co-lead investment range is $500k-$5m.",1,https://www.connectventures.co/,data/raw/2026-09-02_seed-investor-screen-v2.csv,"Enterprise Applications; Data, AI & Developer Tools; Vertical Software; Cloud & Infrastructure Software",B2B software and AI tooling,Zellify?,2026-05,https://www.connectventures.co/opinions/investing-in-zellify-the-missing-data-layer-for-consumer-growth,Deszn?,2026-05,https://www.connectventures.co/opinions/why-we-invested-in-deszn,0,0,,,2026-05,,,2026-09-02,"SEED SCREEN data/raw/2026-09-02_seed-investor-screen-v2.csv. Cheque range is fund-stated and SOURCED. Deals are SECTOR-MATCHED: two per fund per sector, held one row each in the raw file, and the fund-level card carries the two most recent overall."
cristagalli,Crista Galli Ventures,Venture,CALLABLE,UK/Europe,Seed; Series A,0.5,3.0,GBP,,,"European healthtech investor backing prevention, digital care, diagnostics and data-enabled medicine.",1,https://www.cristagalli.com/,data/raw/2026-09-02_seed-investor-screen-v2.csv,Healthcare,Healthcare and digital health,PocDoc,2025-10,https://www.pocdoc.co/news/pocdoc-funding,Aeon,2025-06,https://www.aeon.life/news/aeon-raises-8-2m-seed,0,0,,,2025-10,,,2026-09-02,"SEED SCREEN data/raw/2026-09-02_seed-investor-screen-v2.csv. Cheque range is fund-stated and SOURCED. Deals are SECTOR-MATCHED: two per fund per sector, held one row each in the raw file, and the fund-level card carries the two most recent overall."
dawn,Dawn Capital,Venture,CALLABLE,"UK-based, Europe-focused",Series A; Series B,10.0,40.0,USD,,,Specialist European B2B software investor entering at Series A/B; stated initial investment range is $10m-$40m.,1,https://www.dawncapital.com/,data/raw/2026-09-02_seed-investor-screen-v2.csv,"Enterprise Applications; Data, AI & Developer Tools; Vertical Software; Cloud & Infrastructure Software",B2B software and AI tooling,Orbio,2026-06,https://www.dawncapital.com/content-hub/why-we-invested-in-orbio,Cortea,2026-06,https://www.dawncapital.com/content-hub/from-audit-overload-to-ai-driven-clarity-why-we-re-backing-cortea,0,0,,,2026-06,,,2026-09-02,"SEED SCREEN data/raw/2026-09-02_seed-investor-screen-v2.csv. Cheque range is fund-stated and SOURCED. Deals are SECTOR-MATCHED: two per fund per sector, held one row each in the raw file, and the fund-level card carries the two most recent overall."
dynamo,Dynamo Ventures,Venture,CALLABLE,"North America and Europe, selectively global",Seed; Series A,0.5,2.5,USD,,,"Seed specialist in the physical economy, including freight, warehousing, transportation and commerce enablement.",1,https://www.dynamo.vc/,data/raw/2026-09-02_seed-investor-screen-v2.csv,Local Delivery & On-Demand; Commerce Enablement & Fulfilment; E-commerce Enablement,Delivery logistics and supply chain,UNIT AI,2026-07,https://www.dynamo.vc/insights/unit-ai,Pinch AI,2026-01,https://www.linkedin.com/posts/dynamovc_congratulations-to-the-pinch-ai-team-activity-748925,0,0,,,2026-07,,,2026-09-02,"SEED SCREEN data/raw/2026-09-02_seed-investor-screen-v2.csv. Cheque range is fund-stated and SOURCED. Deals are SECTOR-MATCHED: two per fund per sector, held one row each in the raw file, and the fund-level card carries the two most recent overall."
eka,Eka Ventures,Venture,CALLABLE,UK-focused,Seed; Series A,1.0,3.0,GBP,,,"Pre-seed and seed investor in consumer-led technology across health, wellbeing, sustainability and essential services; stated individual investment is GBP 1m-3m.",1,https://www.ekavc.com/,data/raw/2026-09-02_seed-investor-screen-v2.csv,D2C / Consumer Brand; Consumer Brand; Owned-Inventory Retail; Healthcare,Consumer brands and D2C; Healthcare and digital health,Medly AI,2026-08,https://tech.eu/2026/08/19/medly-ai-raises-8m-to-bring-ai-powered-tutoring-to-more-students/,DITTO Daily,2026-07,https://www.eu-startups.com/2026/07/ditto-daily-6m-seed,0,0,,,2026-08,,,2026-09-02,"SEED SCREEN data/raw/2026-09-02_seed-investor-screen-v2.csv. Cheque range is fund-stated and SOURCED. Deals are SECTOR-MATCHED: two per fund per sector, held one row each in the raw file, and the fund-level card carries the two most recent overall."
eos,Eos Ventures,Venture,CALLABLE,UK/Europe and North America,Series A; Series B,7.0,10.0,USD,,,"Series A investor at the intersection of insurance, wealth, retirement and technology-led financial services.",1,https://eosvc.com/,data/raw/2026-09-02_seed-investor-screen-v2.csv,Digital Bank & Deposits; Lending & Credit,Digital banking and lending,Retirable,2026-04,https://retirable.com/news/series-a,Sidekick,2026-02,https://eosvc.com/eos-ventures-leads-8m-investment-in-sidekick-to-modernize-wealth-management-for-professionals/,0,0,,,2026-04,,,2026-09-02,"SEED SCREEN data/raw/2026-09-02_seed-investor-screen-v2.csv. Cheque range is fund-stated and SOURCED. Deals are SECTOR-MATCHED: two per fund per sector, held one row each in the raw file, and the fund-level card carries the two most recent overall."
episode1,Episode 1 Ventures,Venture,CALLABLE,UK-focused,Pre-seed; Seed,0.25,2.0,GBP,,,"Pre-seed and seed investor in UK software companies, especially B2B applications, infrastructure and applied AI; stated cheque range is GBP 250k-2m.",1,https://episode1.com/faq/,data/raw/2026-09-02_seed-investor-screen-v2.csv,"Enterprise Applications; Data, AI & Developer Tools; Vertical Software; Cloud & Infrastructure Software",B2B software and AI tooling,Osprey Security,2026-07,https://www.soapbox.vc/feed/osprey-pre-seed,Record OS,2026-06,https://cfotech.co.uk/story/record-os-launches-with-usd-2-million-pre-seed-raise,0,0,,,2026-07,,,2026-09-02,"SEED SCREEN data/raw/2026-09-02_seed-investor-screen-v2.csv. Cheque range is fund-stated and SOURCED. Deals are SECTOR-MATCHED: two per fund per sector, held one row each in the raw file, and the fund-level card carries the two most recent overall."
fiveseasons,Five Seasons Ventures,Venture,CALLABLE,Europe-focused,Series A,2.0,10.0,EUR,,,"Series A/B food-tech investor in next-generation consumer food, nutrition and food-system technology; stated first investments are EUR 2m-10m.",1,https://www.fiveseasons.vc/,data/raw/2026-09-02_seed-investor-screen-v2.csv,D2C / Consumer Brand; Consumer Brand; Owned-Inventory Retail,Consumer brands and D2C,Years,2026-07,https://www.verdinvest.com/insight/four-investment-in-years/,JUUZ,2026-03,https://www.bodymedia.de/news/juuz-protein-soda-erfolgreicher-abschluss-einer-siebenstelligen-finanzierung,0,0,,,2026-07,,,2026-09-02,"SEED SCREEN data/raw/2026-09-02_seed-investor-screen-v2.csv. Cheque range is fund-stated and SOURCED. Deals are SECTOR-MATCHED: two per fund per sector, held one row each in the raw file, and the fund-level card carries the two most recent overall."
