# COMPANY-DISCLOSED VOLUME METRICS: the single overlay of GMV, TPV and other gross transaction
# value that the ISSUER ITSELF publishes. Merges data/gmv-disclosures.csv (the ecommerce sheet,
# 30-Aug-2026) with the logistics, services, consumer and payments research sheet of the same day.
#
# metric_category is the line that stops a category error. CORE_GMV is a marketplace's own
# transaction value, the number a founder in that model would quote. ADJACENT_GROSS_VOLUME is a
# payments or lending throughput figure: a real disclosure, but not GMV, and it must never be
# pooled with GMV multiples. NOT_DISCLOSED means the issuer publishes revenue and often unit
# volumes but no monetary gross figure. EXCLUDED means the business model has none to publish, and
# is a conclusion rather than a gap: those names must not come back onto the sourcing list.
#
# NEEDS_FX in fx_basis means the issuer reports in a currency we have no dated rate for yet.
# The local figure is recorded; the USD column is deliberately empty. We do not invent a rate.
# VOLUME USABILITY ADDED 31-Aug-2026. A gross-volume figure may PRICE a company only when the
# enterprise value and the volume describe the same thing. Two ways they do not. A BALANCE-SHEET
# LENDER earns on its own book and prices on price to book, so value over volume is not a multiple
# of anything. And a SEGMENT VOLUME against a GROUP ENTERPRISE VALUE compares two different
# companies: U-NEXT is a streaming business whose cashless arm has a GMV, and dividing group value
# by segment volume produced 341.6x, which is how the error announced itself.
# A row marked NO keeps its disclosure. It is a fact about the company; it is not a denominator.
#
# FX ADDED 31-Aug-2026, at the average rate for each issuer's own fiscal year. THREE ROWS ARRIVED
# WITH A SCALE ERROR and are corrected here: U-NEXT, Digital Garage and AvenuesAI report in
# billions or trillions of local currency and the supplied conversion multiplied by the rate
# without normalising to millions, so they were out by a thousand and a million times.
company_name,exchange_ticker,status,metric_category,issuer_metric_name,fiscal_period,value_local_musd,currency,fx_local_per_usd,fx_basis,value_usd_musd,scope,exact_wording,source_url,origin,volume_usable,volume_usable_reason,fx_scale_check
"Phreesia, Inc.",NYSE:PHR,DISCLOSED,ADJACENT_GROSS_VOLUME,Patient payment volume,FY ended 31-Jan-2026,4873.0,USD,1.0,Reported in USD,4873,Payment platform,Total dollar volume between healthcare clients and patients using the payment platform.,https://www.sec.gov/Archives/edgar/data/1412408/000141240826000079/phr-20260131.htm,volume-metrics research sheet 30-Aug,YES,,
WEX Inc.,NYSE:WEX,DISCLOSED,ADJACENT_GROSS_VOLUME,Total volume - Corporate Payments,Twelve months ended 31-Dec-2025,147785.7,USD,1.0,Reported in USD,147785.7,Corporate Payments,Purchases on WEX-issued accounts plus purchases issued by others using a WEX platform.,https://www.sec.gov/Archives/edgar/data/1309108/000130910826000130/wex-20251231.htm,volume-metrics research sheet 30-Aug,NO,"SCOPE_MISMATCH. Corporate Payments only, and the figure includes purchases issued by other people using a WEX platform, which WEX does not earn the full economics on.",
"Cass Information Systems, Inc.",NASDAQ:CASS,DISCLOSED,ADJACENT_GROSS_VOLUME,Transportation dollar volume,FY ended 31-Dec-2025,36447.471,USD,1.0,Reported in USD,36447.471,Transportation component only,"Transportation dollar volume $36,447.471m; separate facility expense dollar volume $23,256.090m; no issuer consolidated total.",https://ir.cassinfo.com/static-files/4e7edebb-2f4a-4b45-a8c1-b2db2dce9284,volume-metrics research sheet 30-Aug,NO,SEGMENT_VOLUME_AGAINST_GROUP_VALUE. Transportation dollar volume only; the issuer publishes no consolidated total and the separate facility-expense volume of $23.3bn is excluded.,
Nayax Ltd.,NASDAQ:NYAX,DISCLOSED,ADJACENT_GROSS_VOLUME,Total transaction value,FY ended 31-Dec-2025,6449.0,USD,1.0,Reported in USD,6449,Platform-wide,FY2025 total transaction value of $6.449bn.,https://www.sec.gov/Archives/edgar/data/1901279/000117891326000780/exhibit_99-1.htm,volume-metrics research sheet 30-Aug,YES,,
Worldline SA,ENXTPA:WLN,DISCLOSED,ADJACENT_GROSS_VOLUME,Acquiring Merchant Sales Value (MSV),Annual scale disclosed in universal registration document,500000.0,EUR,,NEEDS_FX,,Merchant acquiring,Worldline processes 500 billion euro in acquiring Merchant Sales Value.,https://worldline.com/shared/documents/legal/universal-registration-document/worldline-urd-2025-en.pdf,volume-metrics research sheet 30-Aug,YES,,
PayPoint plc,LSE:PAY,DISCLOSED,ADJACENT_GROSS_VOLUME,Card Services transaction value,FY ended 31-Mar-2026,6439.0,GBP,1.3403,"Average FX for the fiscal year, 31-Mar-25 to 31-Mar-26",8630.19,Card Services,"6,439m pounds: Handepay SME partners 4,360m plus PayPoint retailer partners 2,079m.",https://www.paypoint.com/investors/regulatory-announcements/,volume-metrics research sheet 30-Aug,YES,,OK
"Digital Garage, Inc.",TSE:4819,DISCLOSED,ADJACENT_GROSS_VOLUME,Payment transaction volume,FY ended 31-Mar-2026,9100000.0,JPY,0.0067,"Average FX for the fiscal year, 31-Dec-24 to 31-Dec-25",60877.50,Payments segment,9.1tn yen covering online and offline payments.,https://ir.garage.co.jp/en/investors/overview/,volume-metrics research sheet 30-Aug,NO,SEGMENT_VOLUME_AGAINST_GROUP_VALUE. Digital Garage is an incubation and marketing group that happens to own a payments arm. The transaction volume is that arm; the enterprise value is the group.,CORRECTED_BY_DANIIL_31AUG
"BASE,Inc.",TSE:4477,DISCLOSED,ADJACENT_GROSS_VOLUME,Group GMV,FY ended 31-Dec-2025,430459.0,JPY,0.0067,"Average FX for the fiscal year, 31-Dec-24 to 31-Dec-25",2884.08,"Group, mixed","430,459m yen: BASE 169,918m, PAY.JP 229,427m and Estore Shopserve 31,113m.",https://www2.jpx.co.jp/disc/44770/140120260212556968.pdf,volume-metrics research sheet 30-Aug,YES,,OK
AvenuesAI Limited,NSEI:CCAVENUE,DISCLOSED,ADJACENT_GROSS_VOLUME,Payments TPV,FY ended 31-Mar-2026,5038000.0,INR,0.0113,"Average FX for the fiscal year, 31-Mar-25 to 31-Mar-26",57061.62,"CCAvenue, BillAvenue","Payments TPV of 5,038bn rupees.",https://www.avenues.info/,volume-metrics research sheet 30-Aug,YES,,CORRECTED_BY_DANIIL_31AUG
Fawry for Banking Technology and Electronic Payments,CASE:FWRY,DISCLOSED,ADJACENT_GROSS_VOLUME,Total throughput value,FY ended 31-Dec-2025,943632.7,EGP,0.0203,"Average FX for the fiscal year, 31-Dec-24 to 31-Dec-25",19155.74,Company-wide,"Total throughput value EGP943,632.7m; 2.078bn transactions.",https://www.fawry.com/financials-and-earning-releases/,volume-metrics research sheet 30-Aug,YES,,OK
"Copart, Inc.",NASDAQGS:CPRT,NOT_DISCLOSED,,,FY2025 ended 31-Jul,,,,,,,Latest 10-K reports service revenue and vehicle-sales revenue but does not quantify the gross value of vehicles sold through auctions.,https://www.sec.gov/Archives/edgar/data/900075/000162828025042946/cprt-20250731.htm,volume-metrics research sheet 30-Aug,,,
"Xometry, Inc.",NASDAQGS:XMTR,NOT_DISCLOSED,,,FY2025 ended 31-Dec,,,,,,,"Latest annual filing reports marketplace revenue, not the gross value paid by customers.",https://investors.xometry.com/node/12126/html,volume-metrics research sheet 30-Aug,,,
AUTO1 Group SE,XTRA:AG1,NOT_DISCLOSED,,,FY2025 ended 31-Dec,,,,,,,"Latest results disclose group revenue and vehicles sold, not a separately defined GMV.",https://www.auto1-group.com/press/pressrelease/auto1-group-achieves-record-breaking-2025-results/,volume-metrics research sheet 30-Aug,,,
hipages Group Holdings Limited,ASX:HPG,NOT_DISCLOSED,,,FY2025 ended 30-Jun,,,,,,,"Latest report discloses connections, subscription tradies, MRR and revenue; it does not quantify consolidated GMV.",https://announcements.asx.com.au/asxpdf/20250822/pdf/06n5s3y9lqpx9j.pdf,volume-metrics research sheet 30-Aug,,,
IndiaMART InterMESH Limited,NSEI:INDIAMART,NOT_DISCLOSED,,,FY2025 ended 31-Mar,,,,,,,Lead-generation and subscription marketplace; transactions complete between buyers and suppliers and annual materials do not report a transaction value.,https://www.indiamart.com/,volume-metrics research sheet 30-Aug,,,
Full Truck Alliance Co. Ltd.,NYSE:YMM,NOT_DISCLOSED,,,FY2025 ended 31-Dec,,,,,,,Digital freight marketplace; FY2025 release reports fulfilled orders and revenue but does not quantify full-year GTV.,https://zto.investorroom.com/annual-reports,volume-metrics research sheet 30-Aug,,,
KLN Logistics Group Limited,SEHK:636,NOT_DISCLOSED,,,FY2025,,,,,,,No GMV or gross transaction-value metric in the FY2025 annual-results presentation.,https://www.kln.com/media/3nl115k4/kln-2025-annual-results-presentation.pdf,volume-metrics research sheet 30-Aug,,,
Sinotrans Limited,SEHK:598,NOT_DISCLOSED,,,FY2025,,,,,,,Report discloses platform volume in TEUs but not gross value of goods transacted.,https://stockmc.xueqiu.com/202603/601598_20260331_70MF.pdf,volume-metrics research sheet 30-Aug,,,
Blue Dart Express Limited,NSEI:BLUEDART,NOT_DISCLOSED,,,FY ended Mar-2026,,,,,,,No GMV disclosed.,https://financialfilings.com/filings/blue-dart-express-ltd/annual-report/2026/58065970/,volume-metrics research sheet 30-Aug,,,
Container Corporation of India Limited,NSEI:CONCOR,NOT_DISCLOSED,,,FY ended Mar-2026,,,,,,,No GMV disclosed.,https://nsearchives.nseindia.com/corporate/CONCOR_25052026192500_SCONCOR_SE_25052026.pdf,volume-metrics research sheet 30-Aug,,,
Snowman Logistics Limited,NSEI:SNOWMAN,NOT_DISCLOSED,,,FY ended Mar-2026,,,,,,,No company GMV disclosed.,,volume-metrics research sheet 30-Aug,,,
Lindsay Australia Limited,ASX:LAU,NOT_DISCLOSED,,,FY ended Jun-2025,,,,,,,GMV and gross merchandise do not appear in the annual report.,https://api.marketindex.com.au/api/v1/announcements/XASX,volume-metrics research sheet 30-Aug,,,
JSL S.A.,BOVESPA:JSLG3,NOT_DISCLOSED,,,FY2025,,,,,,,No GMV disclosed.,,volume-metrics research sheet 30-Aug,,,
Tegma Gestao Logistica S.A.,BOVESPA:TGMA3,NOT_DISCLOSED,,,FY2025,,,,,,,No GMV disclosed.,https://ri.tegma.com.br/a-companhia/nossos-negocios/,volume-metrics research sheet 30-Aug,,,
"Grupo Traxion, S.A.B. de C.V.",BMV:TRAXION A,NOT_DISCLOSED,,,FY2025,,,,,,,No GMV disclosed.,https://www.bmv.com.mx/es/Grupo_BMV/InfoFinanciera/TRAXION-32708,volume-metrics research sheet 30-Aug,,,
Reysas Tasimacilik ve Lojistik Ticaret A.S.,IBSE:RYSAS,NOT_DISCLOSED,,,FY2025,,,,,,,No GMV disclosed.,https://www.kap.org.tr/tr/sirket-finansal-bilgileri/1415-reysas-tasimacilik-ve-lojistik-ticaret-a-s,volume-metrics research sheet 30-Aug,,,
Credit Acceptance Corporation,NASDAQ:CACC,NOT_DISCLOSED,,,Year ended Dec-2025,,,,,,,No GMV disclosed.,https://www.sec.gov/Archives/edgar/data/885550/000088555026000047/cacc-20251231.htm,volume-metrics research sheet 30-Aug,,,
OppFi Inc.,NYSE:OPFI,NOT_DISCLOSED,,,Year ended Dec-2025,,,,,,,No qualifying GMV or transaction-value metric.,https://www.sec.gov/Archives/edgar/data/1818502/000119312526187456/d55216dars.pdf,volume-metrics research sheet 30-Aug,,,
Atlanticus Holdings Corporation,NASDAQ:ATLC,NOT_DISCLOSED,,,Year ended Dec-2025,,,,,,,Annual gross purchase-volume total not directly disclosed in evidence reviewed.,,volume-metrics research sheet 30-Aug,,,
Pagaya Technologies Ltd.,NASDAQ:PGY,EXCLUDED,,,Year ended Dec-2025,,,,,,,"Network Volume is the gross dollar value of assets originated by partners and SFR services, not a marketplace transaction value.",https://www.sec.gov/Archives/edgar/data/1883085/000188308526000011/pgya-20251231.htm,volume-metrics research sheet 30-Aug,,,
"PennyMac Financial Services, Inc.",NYSE:PFSI,EXCLUDED,,,Year ended Dec-2025,,,,,,,No qualifying GMV.,https://www.sec.gov/Archives/edgar/data/1745916/000110465926018142/pfsi-20251231x10k.htm,volume-metrics research sheet 30-Aug,,,
S&U plc,LSE:SUS,NOT_DISCLOSED,,,Year ended Jan-2025,,,,,,,No monetary gross transaction-value metric.,,volume-metrics research sheet 30-Aug,,,
Close Brothers Group plc,LSE:CBG,NOT_DISCLOSED,,,Year ended Jul-2025,,,,,,,No payment-volume or GMV metric disclosed.,https://financialfilings.com/filings/close-bros-group-plc/annual-report/2025/8794781/,volume-metrics research sheet 30-Aug,,,
Paragon Banking Group PLC,LSE:PAG,NOT_DISCLOSED,,,Year ended Sep-2025,,,,,,,No company gross transaction-value metric.,https://financialfilings.com/filings/paragon-banking-group-plc/annual-report/2026/13265085/,volume-metrics research sheet 30-Aug,,,
Multitude AG,XTRA:MULT,NOT_DISCLOSED,,,FY2025,,,,,,,No consolidated annual transaction-volume figure.,https://www.multitude.com/,volume-metrics research sheet 30-Aug,,,
Banca IFIS S.p.A.,BIT:IF,NOT_DISCLOSED,,,FY2025,,,,,,,No company gross transaction-value metric identified.,,volume-metrics research sheet 30-Aug,,,
Resurs Bank AB (publ),OM:RESURS,EXCLUDED,,,FY2025,,,,,,,"Business volume is deposits plus lending and leases at parent, not transaction value.",https://www.resursbank.se/,volume-metrics research sheet 30-Aug,,,
Latitude Group Holdings Limited,ASX:LFS,EXCLUDED,,,Year ended Dec-2025,,,,,,,"New transaction volume A$9.1bn combines credit-card purchase volume and loan originations, so it is not a clean payments TPV.",https://investorpa.com/,volume-metrics research sheet 30-Aug,,,
"AMN Healthcare Services, Inc.",NYSE:AMN,NOT_DISCLOSED,,,Year ended Dec-2025,,,,,,,No GMV or analogous gross transaction-value metric identified in the latest Form 10-K.,,volume-metrics research sheet 30-Aug,,,
Robert Walters plc,LSE:RWA,NOT_DISCLOSED,,,FY2025,,,,,,,Annual report reports revenue and net fee income; no GMV or GTV.,https://www.robertwaltersgroup.com/investors/annual-reports.html,volume-metrics research sheet 30-Aug,,,
Hays plc,LSE:HAS,NOT_DISCLOSED,,,FY2026,,,,,,,Annual disclosure reports turnover and net fees; no GMV or GTV.,https://www.haysplc.com/investors/results-centre,volume-metrics research sheet 30-Aug,,,
Elders Limited,ASX:ELD,NOT_DISCLOSED,,,FY2025,,,,,,,Annual report reports sales revenue and agency commissions; no annual GMV or GTV.,https://elders.com.au/about-us/investors/annual-reports/,volume-metrics research sheet 30-Aug,,,
Costco Wholesale Corporation,NASDAQ:COST,NOT_DISCLOSED,,,FY2025,,,,,,,"Annual report reports net sales and membership fees, not GMV.",https://investor.costco.com/financials/annual-reports-and-proxy-statements/default.aspx,volume-metrics research sheet 30-Aug,,,
"BJ's Wholesale Club Holdings, Inc.",NYSE:BJ,NOT_DISCLOSED,,,FY2025,,,,,,,"Annual report reports net sales and membership fees, not GMV.",https://investors.bjs.com/sec-filings/default.aspx,volume-metrics research sheet 30-Aug,,,
"PriceSmart, Inc.",NASDAQ:PSMT,NOT_DISCLOSED,,,FY2025,,,,,,,"10-K reports net merchandise sales and membership income, not GMV.",https://investors.pricesmart.com/financial-information/sec-filings,volume-metrics research sheet 30-Aug,,,
"Planet Fitness, Inc.",NYSE:PLNT,NOT_DISCLOSED,,,FY2025,,,,,,,"10-K reports revenue, system-wide sales and members; system-wide sales are franchisee sales, not a marketplace GMV KPI.",https://investor.planetfitness.com/financial-information/sec-filings,volume-metrics research sheet 30-Aug,,,
"Life Time Group Holdings, Inc.",NYSE:LTH,NOT_DISCLOSED,,,FY2025,,,,,,,10-K reports revenue and memberships; no GMV or GTV.,https://ir.lifetime.life/financial-information/sec-filings,volume-metrics research sheet 30-Aug,,,
"Trupanion, Inc.",NASDAQ:TRUP,NOT_DISCLOSED,,,FY2025,,,,,,,"10-K reports revenue, subscription metrics and veterinary invoice counts; no GMV or GTV.",https://investors.trupanion.com/financial-information/sec-filings,volume-metrics research sheet 30-Aug,,,
"Frontdoor, Inc.",NASDAQ:FTDR,NOT_DISCLOSED,,,FY2025,,,,,,,10-K reports revenue and home-service-plan KPIs; no GMV or GTV.,https://www.sec.gov/Archives/edgar/data/1727263/,volume-metrics research sheet 30-Aug,,,
ADT Inc.,NYSE:ADT,NOT_DISCLOSED,,,FY2025,,,,,,,10-K reports revenue and recurring monthly revenue; no GMV or GTV.,https://investor.adt.com/financials/sec-filings/default.aspx,volume-metrics research sheet 30-Aug,,,
"Arlo Technologies, Inc.",NYSE:ARLO,NOT_DISCLOSED,,,FY2025,,,,,,,10-K reports product and subscription revenue; no GMV or GTV.,https://investor.arlo.com/financial-information/sec-filings,volume-metrics research sheet 30-Aug,,,
FuboTV Inc.,NYSE:FUBO,NOT_DISCLOSED,,,FY2025,,,,,,,Annual report reports revenue and subscribers; no GMV or GTV.,https://ir.fubo.tv/financials/sec-filings/default.aspx,volume-metrics research sheet 30-Aug,,,
CuriosityStream Inc.,NASDAQ:CURI,NOT_DISCLOSED,,,FY2025,,,,,,,10-K reports revenue and subscribers; no GMV or GTV.,https://investors.curiositystream.com/financial-information/sec-filings,volume-metrics research sheet 30-Aug,,,
"WW International, Inc.",NASDAQ:WW,NOT_DISCLOSED,,,FY2025,,,,,,,Annual report reports subscription revenue and subscribers; no GMV or GTV.,https://corporate.ww.com/investors/sec-filings/default.aspx,volume-metrics research sheet 30-Aug,,,
"LifeMD, Inc.",NASDAQ:LFMD,NOT_DISCLOSED,,,FY2025,,,,,,,10-K reports telehealth and WorkSimpli revenue; no GMV or GTV.,https://ir.lifemd.com/financial-information/sec-filings,volume-metrics research sheet 30-Aug,,,
"Rollins, Inc.",NYSE:ROL,NOT_DISCLOSED,,,FY2025,,,,,,,10-K reports service revenue; no GMV or GTV.,https://investors.rollins.com/financial-information/sec-filings/default.aspx,volume-metrics research sheet 30-Aug,,,
"Peloton Interactive, Inc.",NASDAQ:PTON,NOT_DISCLOSED,,,FY2026,,,,,,,Annual report reports subscription and connected-fitness revenue; no GMV or GTV.,https://investor.onepeloton.com/financial-information/sec-filings,volume-metrics research sheet 30-Aug,,,
Nerdy Inc.,NYSE:NRDY,NOT_DISCLOSED,,,FY2025,,,,,,,Annual report reports revenue and sessions; no annual GMV or GTV.,https://www.nerdy.com/investors/financials/sec-filings,volume-metrics research sheet 30-Aug,,,
Basic-Fit N.V.,ENXTAM:BFIT,NOT_DISCLOSED,,,FY2025,,,,,,,"Annual report reports revenue, clubs and memberships; no GMV or GTV.",https://corporate.basic-fit.com/investors/annual-reports,volume-metrics research sheet 30-Aug,,,
The Gym Group plc,LSE:GYM,NOT_DISCLOSED,,,FY2025,,,,,,,Annual report reports revenue and members; no GMV or GTV.,https://www.tggplc.com/investors/results-reports-presentations/,volume-metrics research sheet 30-Aug,,,
Naked Wines plc,AIM:WINE,NOT_DISCLOSED,,,FY2026,,,,,,,"Results report revenue and total sales, not a distinct GMV or gross transaction-value measure.",https://www.nakedwines.com/,volume-metrics research sheet 30-Aug,,,
Pets at Home Group Plc,LSE:PETS,NOT_DISCLOSED,,,FY2026,,,,,,,Report does not use GMV or GTV; Group Consumer Revenue combines statutory revenue with gross JV practice consumer sales.,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000146412.pdf,volume-metrics research sheet 30-Aug,,,
Deezer S.A.,ENXTPA:DEEZR,NOT_DISCLOSED,,,FY2025,,,,,,,Universal registration document reports revenue and subscribers; no GMV or GTV.,https://www.deezer-investors.com/financial-information/,volume-metrics research sheet 30-Aug,,,
Viaplay Group AB (publ),OM:VPLAY B,NOT_DISCLOSED,,,FY2025,,,,,,,Annual report reports revenue and subscribers; no GMV or GTV.,https://www.viaplaygroup.com/investors/financial-reports,volume-metrics research sheet 30-Aug,,,
Cookpad Inc.,TSE:2193,NOT_DISCLOSED,,,FY2025,,,,,,,Annual disclosure reports revenue and user metrics; no GMV or GTV.,https://info.cookpad.com/en/ir/,volume-metrics research sheet 30-Aug,,,
"CURVES HOLDINGS Co., Ltd.",TSE:7085,NOT_DISCLOSED,,,FY2025,,,,,,,Annual disclosure reports revenue and member and store metrics; no GMV or GTV.,https://www.curvesholdings.co.jp/ir/,volume-metrics research sheet 30-Aug,,,
JustSystems Corporation,TSE:4686,NOT_DISCLOSED,,,FY2026,,,,,,,Annual disclosure reports software revenue; no GMV or GTV.,https://www.justsystems.com/jp/ir/,volume-metrics research sheet 30-Aug,,,
Viva Leisure Limited,ASX:VVA,NOT_DISCLOSED,,,FY2025,,,,,,,"Annual report reports revenue, locations and members; no GMV or GTV.",https://www.vivaleisure.com.au/investor-centre/,volume-metrics research sheet 30-Aug,,,
Aussie Broadband Limited,ASX:ABB,NOT_DISCLOSED,,,FY2025,,,,,,,Annual report reports telecommunications revenue and connections; no GMV or GTV.,https://www.aussiebroadband.com.au/investor-centre/,volume-metrics research sheet 30-Aug,,,
Matrimony.com Limited,NSEI:MATRIMONY,NOT_DISCLOSED,,,FY2026,,,,,,,"Reporting uses billings and revenue, not GMV or GTV.",https://www.matrimony.com/investors/,volume-metrics research sheet 30-Aug,,,
Repay Holdings Corporation,NASDAQ:RPAY,NOT_DISCLOSED,,,FY2025,,,,,,,10-K refers to payment volume qualitatively but provides no annual dollar amount.,https://www.sec.gov/Archives/edgar/data/1720592/000119312526038518/,volume-metrics research sheet 30-Aug,,,
"Pathward Financial, Inc.",NASDAQ:CASH,NOT_DISCLOSED,,,FY2025,,,,,,,Annual report does not disclose consolidated dollar payment volume or TPV.,https://www.pathwardfinancial.com/investor-relations/financial-information/sec-filings/default.aspx,volume-metrics research sheet 30-Aug,,,
"Paymentus Holdings, Inc.",NYSE:PAY,NOT_DISCLOSED,,,FY2025,,,,,,,"10-K discloses approximately 724m payments, but not their aggregate dollar value.",https://www.sec.gov/Archives/edgar/data/1841156/000119312526064510/pay-20251231.htm,volume-metrics research sheet 30-Aug,,,
Waystar Holding Corp.,NASDAQ:WAY,EXCLUDED,,,FY2025,,,,,,,"Report says more than $2.4 trillion in gross claims volume. Claims volume is not payments volume, and more than is a threshold, so the figure is a floor.",https://www.sec.gov/Archives/edgar/data/1990354/000199035426000011/way-20251231.htm,volume-metrics research sheet 30-Aug,,,
NCR Atleos Corporation,NYSE:NATL,NOT_DISCLOSED,,,FY2025,,,,,,,10-K discusses ATM and payment transactions and revenue but not underlying dollar value.,https://www.sec.gov/Archives/edgar/data/1974138/000162828026012576/natl-20251231.htm,volume-metrics research sheet 30-Aug,,,
"Diebold Nixdorf, Incorporated",NYSE:DBD,NOT_DISCLOSED,,,FY2025,,,,,,,10-K does not report dollar payment volume or a transaction-value KPI.,https://www.sec.gov/Archives/edgar/data/28823/000002882326000008/dbd-20251231.htm,volume-metrics research sheet 30-Aug,,,
PAX Global Technology Limited,SEHK:327,NOT_DISCLOSED,,,FY2025,,,,,,,"Annual report reports terminal and solutions revenue and connected terminals, not underlying TPV.",https://www.pax.us/about-us/press-room/pax-2025-annual-results/,volume-metrics research sheet 30-Aug,,,
Zaggle Prepaid Ocean Services Limited,NSEI:ZAGGLE,NOT_DISCLOSED,,,FY2026,,,,,,,Investor presentation references GTV and spends but does not state a consolidated annual rupee value processed.,https://ir.zaggle.in/wp-content/uploads/2026/05/zaggle-investor-presentation-Q4FY26.pdf,volume-metrics research sheet 30-Aug,,,
Kanzhun Limited,NASDAQGS:BZ,EXCLUDED,,,,,,,,,,"Recruitment, listings or subscription platform: monetised by subscription, advertising or performance fees, so no gross transaction value passes through the issuer.",,volume-metrics research sheet 30-Aug,,,
"ZipRecruiter, Inc.",NYSE:ZIP,EXCLUDED,,,,,,,,,,"Recruitment, listings or subscription platform: monetised by subscription, advertising or performance fees, so no gross transaction value passes through the issuer.",,volume-metrics research sheet 30-Aug,,,
"Visional, Inc.",TSE:4194,EXCLUDED,,,,,,,,,,"Recruitment, listings or subscription platform: monetised by subscription, advertising or performance fees, so no gross transaction value passes through the issuer.",,volume-metrics research sheet 30-Aug,,,
Infomart Corporation,TSE:2492,EXCLUDED,,,,,,,,,,"Recruitment, listings or subscription platform: monetised by subscription, advertising or performance fees, so no gross transaction value passes through the issuer.",,volume-metrics research sheet 30-Aug,,,
"Bengo4.com,Inc.",TSE:6027,EXCLUDED,,,,,,,,,,"Recruitment, listings or subscription platform: monetised by subscription, advertising or performance fees, so no gross transaction value passes through the issuer.",,volume-metrics research sheet 30-Aug,,,
"Medley, Inc.",TSE:4480,EXCLUDED,,,,,,,,,,"Recruitment, listings or subscription platform: monetised by subscription, advertising or performance fees, so no gross transaction value passes through the issuer.",,volume-metrics research sheet 30-Aug,,,
"SMS Co., Ltd.",TSE:2175,EXCLUDED,,,,,,,,,,"Recruitment, listings or subscription platform: monetised by subscription, advertising or performance fees, so no gross transaction value passes through the issuer.",,volume-metrics research sheet 30-Aug,,,
DIP Corporation,TSE:2379,EXCLUDED,,,,,,,,,,"Recruitment, listings or subscription platform: monetised by subscription, advertising or performance fees, so no gross transaction value passes through the issuer.",,volume-metrics research sheet 30-Aug,,,
en Inc.,TSE:4849,EXCLUDED,,,,,,,,,,"Recruitment, listings or subscription platform: monetised by subscription, advertising or performance fees, so no gross transaction value passes through the issuer.",,volume-metrics research sheet 30-Aug,,,
"LegalZoom.com, Inc.",NASDAQGS:LZ,EXCLUDED,,,,,,,,,,"Recruitment, listings or subscription platform: monetised by subscription, advertising or performance fees, so no gross transaction value passes through the issuer.",,volume-metrics research sheet 30-Aug,,,
"DHI Group, Inc.",NYSE:DHX,EXCLUDED,,,,,,,,,,"Recruitment, listings or subscription platform: monetised by subscription, advertising or performance fees, so no gross transaction value passes through the issuer.",,volume-metrics research sheet 30-Aug,,,
"MonotaRO Co., Ltd.",TSE:3064,EXCLUDED,,,,,,,,,,"First-party seller: buys and resells its own inventory, so net sales already ARE the transaction value and there is no third-party GMV.",,volume-metrics research sheet 30-Aug,,,
Ocado Group plc,LSE:OCDO,EXCLUDED,,,,,,,,,,"First-party seller: buys and resells its own inventory, so net sales already ARE the transaction value and there is no third-party GMV.",,volume-metrics research sheet 30-Aug,,,
Oisix ra daichi Inc.,TSE:3182,EXCLUDED,,,,,,,,,,"First-party seller: buys and resells its own inventory, so net sales already ARE the transaction value and there is no third-party GMV.",,volume-metrics research sheet 30-Aug,,,
HelloFresh SE,XTRA:HFG,EXCLUDED,,,,,,,,,,"First-party seller: buys and resells its own inventory, so net sales already ARE the transaction value and there is no third-party GMV.",,volume-metrics research sheet 30-Aug,,,
"Rent the Runway, Inc.",NASDAQGM:RENT,EXCLUDED,,,,,,,,,,"First-party seller: buys and resells its own inventory, so net sales already ARE the transaction value and there is no third-party GMV.",,volume-metrics research sheet 30-Aug,,,
Delhivery Limited,NSEI:DELHIVERY,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
InPost S.A.,ENXTAM:INPST,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
J&T Global Express Limited,SEHK:1519,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
ZTO Express (Cayman) Inc.,NYSE:ZTO,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
"S.F. Holding Co., Ltd.",SZSE:002352,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
"United Parcel Service, Inc.",NYSE:UPS,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
FedEx Corporation,NYSE:FDX,EXCLUDED,,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",,volume-metrics research sheet 30-Aug,,,
