# Fairway PRIVATE FINANCING TRANSACTION DATABASE. 58 valuation-backed rounds, transcribed 30-Aug-2026
# from Daniil's workbook. His header: "Exact wording preserved | Green = usable multiple; yellow =
# metric unusable; red = NOT FOUND".
#
# THIS IS THE AUTHORITATIVE SOURCE AND IT OVERRIDES MY OWN WORK WHERE THEY DISAGREE. Six conflicts
# with what went into data/private-rounds.csv this morning are listed at the foot of this comment
# block. They must be resolved before either file is used.
#
# TRANSCRIBED FROM SCREENSHOTS. The analytical fields below are faithful to my reading. THE SOURCE
# URLs ARE NOT TRANSCRIBED: they are not legible enough at screenshot resolution to reproduce
# safely, and a URL that is wrong by one character is worse than no URL. Every row is therefore
# marked source_url=NEEDS_WORKBOOK. The workbook must land as a CSV before any of these rows can be
# published to a founder, because our own rule is that every figure carries a named source.
#
# THE SIX CONFLICTS WITH THIS MORNING'S INSERT
#  1. LOADSMART. I excluded it for having no stated period. THE WORKBOOK SHOWS A PERIOD: gross
#     revenue "north of $250 million in 2021", contemporaneous VentureBeat, and marks it USABLE at
#     <5.2x. I was wrong and Daniil's instinct to keep it was right. Insert it.
#  2. GORILLAS. I excluded it. Workbook marks it USABLE at <10.3x post-money, Tier 1 on both the
#     transaction and the metric, and calls it "strongest logistics pricing comp in this" set.
#  3. JOBANDTALENT. I excluded it. Workbook marks it USABLE at <2.08x on the revenue run-rate.
#  4. ZEPZ. I inserted 21.0x on $238m. Workbook uses the $338m round-announcement figure and gives
#     14.8x, FLAGGED. Both figures are Zepz's own. Daniil's call needed.
#  5. MARQETA. I inserted 30.0x on FY2019 net revenue from the S-1. Workbook uses the contemporaneous
#     Forbes "above $300 million" 2019 GROSS revenue and gives <14.3x, flagged, "retain only as
#     valuation/gross". The workbook is stricter on at-pricing evidence and is probably right.
#  6. PINE LABS and RAZORPAY. I inserted both as usable. The workbook marks BOTH "not usable /
#     timing or definition issue". Pine Labs because the ₹726 crore statutory figure conflicts with a
#     cited "$107 million" net revenue on a different definition; Razorpay because FY2022 was
#     unavailable at pricing and FY2021 is the wrong side of the definition question.
#     BETTER.COM is a seventh: the workbook covers the Apr-2021 secondary and marks it not usable.
#     My insert used the May-2021 SPAC instead, which the workbook does not cover.
#
# COLUMNS. implied_multiple_bound is carried EXACTLY as the workbook states it, including the
# inequality. A bound is information: "<5.2x" means the denominator was a floor so the multiple is a
# ceiling. Never strip it.
Logistics and fulfilment operations,Ninja Van,Singapore,Parcel / last-mile,2021-09-26,PRIMARY,Series E,US$578m,THIRD-PARTY REPORTED / ESTIMATED,"above US$1 billion; transaction estimates US$1.85-1.9 billion, valuation not officially disclosed","NOT FOUND at transaction date; last cited historical figure US$149.3m for 2019, with CEO saying revenue grew 40-50% annually",Revenue growth only,NO / NOT ESTABLISHED,NOT FOUND,,Alibaba; GeoPost/DPDgroup; B Capital; Monks Hill; Zamrud SWF,Tier 2,"Tier 2. Retain valuation, leave revenue blank because growth has no dated absolute",NEEDS_WORKBOOK
Logistics and fulfilment operations,Gopuff,US,Quick commerce / convenience delivery,2021-07-30,PRIMARY,Series H,US$1bn,THIRD-PARTY REPORTED / ESTIMATED,"approximately US$15 billion post-money","Revenue more than tripled in 2020 to approximately $340 million, reported by The Information on 26-Apr-2021 from an internal presentation.",,YES,FOUND - usable for multiple,about 44.1x valuation / 2020 revenue,Fidelity; Blackstone; Guggenheim; Hedosophia; MSD; Adage and others,Tier 2,"The Information, 26-Apr-2021, reviewed an internal presentation",NEEDS_WORKBOOK
Logistics and fulfilment operations,Glovo,Spain,Delivery / quick commerce,2021-03-31,PRIMARY,Series F,EUR450m (about US$530m),THIRD-PARTY REPORTED / ESTIMATED,"company did not disclose; Dealroom approximately EUR2.0bn post-money; contemporary press at least US$1.7bn","EUR360 million 2020 revenue, reported 21-Sep-2021 (nearly six months later)",,NO / NOT ESTABLISHED,FOUND - not usable / timing or definition issue,,Lugard Road; Luxor and others,Tier 1,Tier 1 / Tier 2. Retain valuation round; exclude multiple from strict pricing,NEEDS_WORKBOOK
Logistics and fulfilment operations,Delhivery,India,Integrated parcel / freight / fulfilment,2021-05-31,PRIMARY,Series H,company said US$275m; press US$277m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"more than US$3 billion post-money","Rs 3646.5 crore revenue from operations FY2021; DRHP also approximately Rs 4449.3 crore pro forma including Spoton",,NO / NOT ESTABLISHED,FOUND - not usable / timing or definition issue,,Fidelity Management & Research; GIC,Tier 1,Tier 1. Revenue is authoritative but later IPO filing; no strict at-pricing multiple.,NEEDS_WORKBOOK
Logistics and fulfilment operations,Xpressbees,India,Express parcel / last-mile,2022-02-09,PRIMARY + SECONDARY,"Series F, primary plus secondary","US$300m, reportedly about US$100m primary / US$200m secondary",THIRD-PARTY REPORTED / ESTIMATED,"approximately US$1.2 billion post-money","Rs 1004.8 crore revenue from operations for FY2021; Rs 1019.8 crore total income; publication timing not established in retrieved source",,NO / NOT ESTABLISHED,FOUND - not usable / timing or definition issue,,Blackstone Growth; TPG Growth; ChrysCapital; Investcorp and Norwest,Tier 1,Tier 1 transaction; revenue currently uncited in result and requires confirmation,NEEDS_WORKBOOK
Consumer subscription,Savage X Fenty,US,Lingerie membership,2021-02-10,PRIMARY,Series B,US$115m,THIRD-PARTY REPORTED / ESTIMATED,"more than $1 billion valuation (Fast Company, 10-Feb-2021)","Generated an estimated $150 million in revenue in 2020 (Fast Company, 10-Feb-2021).","over 200% revenue growth; active VIP membership",YES,FOUND - usable for multiple,>6.7x valuation / estimated 2020 revenue,L Catterton; Marcy; Avenir; Sunley House,Tier 2,Fast Company reported estimated $150m 2020 revenue and valuation,NEEDS_WORKBOOK
Consumer subscription,MasterClass,US,Online learning subscription,2021-05-13,PRIMARY,Series F,US$225m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"US$2.75 billion post-money","approximately US$100 million 2020 revenue or ARR, but available result points to CB Insights or Contrary rather than a clearly dated contemporaneous source",,NO / NOT ESTABLISHED,FOUND - not usable / timing or definition issue,,Fidelity Management & Research and others,Tier 3,Tier 3. Publication timing must be proven before strict inclusion.,NEEDS_WORKBOOK
Consumer subscription,Daily Harvest,US,Frozen-food subscription,2021-11-15,PRIMARY,Series D,US$77m (some databases say US$100m),DISCLOSED / CONTEMPORANEOUSLY REPORTED,"US$1.1 billion post-money","NOT FOUND. Accessible Bloomberg transaction coverage did not substantiate the alleged $250m revenue figure.",,NO / NOT ESTABLISHED,NOT FOUND,,Lone Pine; Lightspeed,Tier 2,Valuation-supported row; revenue intentionally blank.,NEEDS_WORKBOOK
Consumer subscription,Strava,US,Fitness app subscription,2020-11-16,PRIMARY,Series F,US$110m,THIRD-PARTY REPORTED / ESTIMATED,"reported range approximately US$1.5-1.65 billion post-money","estimated US$70-72 million 2020 revenue; company did not disclose","70m members; more than 2m new athletes per month",NO / NOT ESTABLISHED,FOUND - not usable / timing or definition issue,,TCV; Sequoia; Dragoneer; Madrone; Jackson Square; Go4it,Tier 2/3,Tier 2/3. Preserve as estimated multiple range only.,NEEDS_WORKBOOK
Consumer subscription,AG1 / Athletic Greens,US / New Zealand,Nutrition subscription,2022-01-25,PRIMARY,Growth round,US$115m,THIRD-PARTY REPORTED / ESTIMATED,"approximately US$1.2 billion pre-money","Approximately a $150 million annual revenue run rate before the financing (TechCrunch, 25-Jan-2022).",revenue growth approached 200% in 2021,YES,FOUND - usable for multiple,about 8.8x post-money / annual revenue run-rate,Alpha Wave Global and others,Tier 2,TechCrunch contemporaneously reported approximately $150m annual revenue run-rate,NEEDS_WORKBOOK
Consumer subscription,WHOOP,US,Fitness wearable subscription,2021-08-30,PRIMARY,Series F,US$200m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"US$3.6 billion post-money","NOT FOUND; contemporaneous reporting noted revenue and customer base were private",,NO / NOT ESTABLISHED,NOT FOUND,,SoftBank Vision Fund 2 and others,Tier 1,"Tier 1 transaction / Tier 2 absence check. Retain valuation, blank revenue.",NEEDS_WORKBOOK
Consumer subscription,Flo Health,UK,Womens health app subscription,2024-07-30,PRIMARY,Series C,more than US$200m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"above US$1 billion post-money; some databases US$1.2bn but not company-confirmed","2023 revenue exceeded US$140 million; 2024 gross bookings projected to exceed US$200m. Gross bookings are not revenue","nearly 70m MAUs; close to 5m paid subscribers",NO / NOT ESTABLISHED,FOUND - not usable / timing or definition issue,,General Atlantic,Tier 1,Both valuation and revenue are lower bounds (>$1bn and >$140m),NEEDS_WORKBOOK
Consumer subscription,Patreon,US,Creator memberships,2021-04-07,PRIMARY,Series F,US$155m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"US$4 billion post-money","Surpassed $100 million in annualized revenue by Jan-2021 (The Information), before the 7-Apr-2021 round.",more than US$100m per month creator payouts; >200k creators,YES,FOUND - usable for multiple,<40.0x valuation / annualized revenue,Tiger Global and others,Tier 2,Tier 1 operating metrics. Do not derive revenue from creator payouts or take rate.,NEEDS_WORKBOOK
Consumer subscription,Calm,US,Meditation app subscription,2020-12-08,PRIMARY,Series C,US$75m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"US$2 billion post-money","NOT FOUND as a contemporaneous reliable absolute 2020 figure; broad estimates US$200-300m and older references conflict",4m paying members; profitable since 2016,NO / NOT ESTABLISHED,NOT FOUND,,Lightspeed and others,Tier 1,Tier 1 transaction; blank revenue.,NEEDS_WORKBOOK
