# Fairway investor profiles, derived only from private-rounds.csv. One row per investor house.
#
# HOW TO READ THIS, AND THE ONE THING IT CANNOT TELL YOU. The source sheet has a single combined
# "Lead / Key Investors" column, so this file CANNOT SEPARATE A LEAD FROM A PARTICIPANT. Accel
# appearing in twelve rounds does not mean Accel led twelve rounds. Every count, range and
# preference below is "was named in", not "led". Splitting lead from participant needs a field
# the source does not carry, and inventing it would be worse than not having it.
#
# Everything except house_type is COMPUTED from the transactions. house_type is a classification
# of what kind of money this is, which is not in the data.
#
# cheque_* is the SIZE OF THE WHOLE ROUND, not this investor's cheque. Individual allocations are
# not disclosed in any of these sources. It says what size of round the house shows up in.
#
# multiple_* is the headline post-money / revenue multiple on the rounds the house appears in.
# rounds_with_ceiling_multiple counts how many of those rest on a "more than $X" revenue or
# valuation figure, where the true multiple is LOWER than printed. Where that count is most of the
# rounds, read the range as an upper bound.
#
# Vehicles of one house are merged and the raw strings kept in vehicles_seen (ICONIQ / ICONIQ
# Growth, NVIDIA / NVentures, Menlo / Menlo Anthology, SoftBank Group / Vision Fund 2). Separate
# franchises with separate mandates are NOT merged: GV, CapitalG and Google are three rows, and
# Sequoia China is its own row because it separated from Sequoia as HongShan in 2023.
#
# SINCE AUG-2026 the source file also carries two M&A rows and one strategic ~49% purchase, so
# Intuit, Adobe and Meta appear here as houses. They are ACQUIRERS, not funds: their "cheque"
# is an acquisition price and their multiple embeds a control premium.
#
# THIS FILE IS A COMPUTED VIEW. Every column except investor, house_type and vehicles_seen is
# recomputed from private-rounds.csv and private-companies-tags.csv. It is stored because it is
# what a person reads, not because it is a second source of truth. If the rounds change, this file
# is regenerated, never hand-edited. The only things that live HERE and nowhere else are the
# canonical name mapping (140 raw strings from the sheet collapse to 122 houses) and house_type.
#
# EXCLUDED FROM THIS FILE: "Sibos" in the GoCardless Feb-22 row. Sibos is SWIFT's annual banking
# conference, not an investor. Flagged to the operator for correction at source.
investor,house_type,rounds_in_set,companies_in_set,companies_backed,first_round,last_round,archetypes_backed,industries_backed,functions_backed,buyer_types_backed,revenue_models_backed,ai_stance_mix,stages_backed,cheque_min_musd,cheque_median_musd,cheque_max_musd,postmoney_min_musd,postmoney_median_musd,postmoney_max_musd,multiple_min_x,multiple_median_x,multiple_max_x,rounds_with_ceiling_multiple,vehicles_seen
Greylock Partners,Venture,2,2,Abnormal Security|Wiz,May-24,Aug-24,Cybersecurity(2),Horizontal(2),Security(2),ENT_IT(2),PLATFORM(1)|SEATS(1),AI_EMBEDDED(1)|AI_NATIVE(1),D(1)|E(1),250,625,1000,5100,8550,12000,25.5,29.9,34.3,1,Greylock
Inovia Capital,Venture,2,2,Cohere|Guesty,Jun-23,Apr-24,"Data, AI & Developer Tools(1)|Vertical Software(1)",Horizontal(1)|Hospitality(1),IT & Integration(1)|Operations(1),ENT_IT(1)|SMB(1),PLATFORM(2),AI_EMBEDDED(1)|AI_NATIVE(1),C(1)|F(1),130,200,270,900,1500,2100,5.5,50.5,95.5,0,Inovia
IVP,Venture,2,2,LangChain|Perplexity,Dec-24,Oct-25,"Consumer & Prosumer Software(1)|Data, AI & Developer Tools(1)",Horizontal(2),Data & Analytics(1)|Engineering & Design(1),CONSUMER(1)|DEV(1),SEATS(2),AI_NATIVE(2),B(1)|Growth(1),125,312,500,1250,5125,9000,78.1,110.5,142.9,0,IVP
KKR,Institutional / sovereign / PE,2,2,Guesty|Qonto,Jan-22,Apr-24,Commerce & Payments Software(1)|Vertical Software(1),Horizontal(1)|Hospitality(1),Finance & Payments(1)|Operations(1),SMB(2),PLATFORM(2),AI_EMBEDDED(1)|AI_NEUTRAL(1),D(1)|F(1),130,341,552,900,2950,5000,5.5,23.6,41.7,0,KKR
Kleiner Perkins,Venture,2,2,Harvey|Huntress,Jun-24,Jun-25,Cybersecurity(1)|Vertical Software(1),Horizontal(1)|Legal & Professional Services(1),Legal & Compliance(1)|Security(1),LOB(1)|SMB(1),SEATS(2),AI_EMBEDDED(1)|AI_NATIVE(1),D(1)|E(1),150,225,300,1550,3275,5000,15.5,41.1,66.7,0,Kleiner Perkins
Meritech Capital,Venture,2,2,FloQast|Huntress,Apr-24,Jun-24,Business Applications(1)|Cybersecurity(1),Horizontal(2),Finance & Payments(1)|Security(1),LOB(1)|SMB(1),SEATS(2),AI_EMBEDDED(2),D(1)|E(1),100,125,150,1550,1575,1600,15.5,15.8,16.0,1,Meritech
Meta,Corporate / strategic,2,1,Scale AI,May-24,Jun-25,"Data, AI & Developer Tools(2)",Horizontal(2),Data & Analytics(2),ENT_IT(2),SERVICES_LED(2),AI_NATIVE(2),F(1)|Strategic(1),1000,7650,14300,13800,21400,29000,14.5,15.2,15.9,0,Meta|Meta Platforms
Premji Invest,Venture,2,2,Outreach|Writer,Jun-21,Nov-24,"Data, AI & Developer Tools(1)|Marketing & Customer Engagement(1)",Horizontal(2),Marketing(1)|Sales(1),ENT_IT(1)|LOB(1),SEATS(2),AI_EMBEDDED(1)|AI_NATIVE(1),C(1)|G(1),200,200,200,1900,3150,4400,22.0,31.2,40.4,0,Premji|Premji Invest
Qatar Investment Authority,Institutional / sovereign / PE,2,2,Celonis|Snyk,Aug-22,Dec-22,"Cybersecurity(1)|Data, AI & Developer Tools(1)",Horizontal(2),Operations(1)|Security(1),DEV(1)|ENT_IT(1),PLATFORM(1)|SEATS(1),AI_EMBEDDED(2),D(1)|G(1),197,598,1000,7400,10200,13000,13.0,31.1,49.3,0,Qatar Investment Authority
Sands Capital,Crossover / public-market,2,2,OneTrust|Snyk,Dec-22,Jul-23,Business Applications(1)|Cybersecurity(1),Horizontal(2),Legal & Compliance(1)|Security(1),DEV(1)|LOB(1),PLATFORM(1)|SEATS(1),AI_EMBEDDED(2),G(1)|Growth(1),150,174,197,4500,5950,7400,11.3,30.3,49.3,0,Sands Capital
Spark Capital,Venture,2,2,Anthropic|Cyera,May-23,Apr-24,"Cybersecurity(1)|Data, AI & Developer Tools(1)",Horizontal(2),IT & Integration(1)|Security(1),DEV(1)|ENT_IT(1),CONSUMPTION(1)|PLATFORM(1),AI_NATIVE(2),C(2),300,375,450,1400,2700,4000,28.0,34.0,40.0,1,Spark Capital
T. Rowe Price,Crossover / public-market,2,2,Celonis|Databricks,Aug-22,Sep-23,"Data, AI & Developer Tools(2)",Horizontal(2),Data & Analytics(1)|Operations(1),ENT_IT(2),CONSUMPTION(1)|PLATFORM(1),AI_EMBEDDED(2),D(1)|I(1),500,750,1000,13000,28000,43000,13.0,19.9,26.9,0,T. Rowe Price
Viking Global,Crossover / public-market,2,1,AlphaSense,Sep-23,Jun-24,"Data, AI & Developer Tools(2)",Financial Services(2),Data & Analytics(2),LOB(2),SEATS(2),AI_EMBEDDED(2),E(1)|Growth(1),150,400,650,2500,3250,4000,12.5,16.2,20.0,1,Viking
1835i Ventures,Corporate / strategic,1,1,Airwallex,Oct-22,Oct-22,Commerce & Payments Software(1),Horizontal(1),Finance & Payments(1),SMB(1),TAKE_RATE(1),AI_NEUTRAL(1),E(1),100,100,100,5500,5500,5500,27.5,27.5,27.5,0,1835i Ventures
8VC,Venture,1,1,Vercel,May-24,May-24,Cloud & Infrastructure(1),Horizontal(1),Engineering & Design(1),DEV(1),CONSUMPTION(1),AI_EMBEDDED(1),E(1),250,250,250,3250,3250,3250,32.5,32.5,32.5,0,8VC
A*,Venture,1,1,Decagon,Jan-26,Jan-26,Marketing & Customer Engagement(1),Horizontal(1),Customer Service(1),LOB(1),CONSUMPTION(1),AI_NATIVE(1),D(1),250,250,250,4500,4500,4500,45.0,45.0,45.0,1,A*
Accenture Ventures,Corporate / strategic,1,1,Writer,Sep-23,Sep-23,"Data, AI & Developer Tools(1)",Horizontal(1),Marketing(1),ENT_IT(1),SEATS(1),AI_NATIVE(1),B(1),100,100,100,750,750,750,46.9,46.9,46.9,0,Accenture
Acrew Capital,Venture,1,1,Invisible Technologies,Sep-25,Sep-25,"Data, AI & Developer Tools(1)",Horizontal(1),Data & Analytics(1),ENT_IT(1),SERVICES_LED(1),AI_NATIVE(1),Growth(1),100,100,100,2000,2000,2000,14.9,14.9,14.9,1,Acrew Capital
Adams Street Partners,Institutional / sovereign / PE,1,1,Cato Networks,Sep-23,Sep-23,Cybersecurity(1),Horizontal(1),Security(1),ENT_IT(1),PLATFORM(1),AI_EMBEDDED(1),Growth(1),238,238,238,3000,3000,3000,30.0,30.0,30.0,1,Adams Street
Adobe,Corporate / strategic,1,1,Semrush,Nov-25,Nov-25,Marketing & Customer Engagement(1),Horizontal(1),Marketing(1),SMB(1),SEATS(1),AI_EXPOSED(1),Acquisition(1),,,,1900,1900,1900,4.3,4.3,4.3,0,Adobe
Adobe Ventures,Corporate / strategic,1,1,Writer,Nov-24,Nov-24,"Data, AI & Developer Tools(1)",Horizontal(1),Marketing(1),ENT_IT(1),SEATS(1),AI_NATIVE(1),C(1),200,200,200,1900,1900,1900,40.4,40.4,40.4,0,Adobe Ventures
Amazon,Corporate / strategic,1,1,Scale AI,May-24,May-24,"Data, AI & Developer Tools(1)",Horizontal(1),Data & Analytics(1),ENT_IT(1),SERVICES_LED(1),AI_NATIVE(1),F(1),1000,1000,1000,13800,13800,13800,15.9,15.9,15.9,0,Amazon
AMD Ventures,Corporate / strategic,1,1,Scale AI,May-24,May-24,"Data, AI & Developer Tools(1)",Horizontal(1),Data & Analytics(1),ENT_IT(1),SERVICES_LED(1),AI_NATIVE(1),F(1),1000,1000,1000,13800,13800,13800,15.9,15.9,15.9,0,AMD Ventures
Amex Ventures,Corporate / strategic,1,1,Replit,Sep-25,Sep-25,"Data, AI & Developer Tools(1)",Horizontal(1),Engineering & Design(1),LOB(1),CONSUMPTION(1),AI_NATIVE(1),C(1),250,250,250,3000,3000,3000,20.0,20.0,20.0,0,Amex Ventures
Apax Digital,Institutional / sovereign / PE,1,1,Guesty,Apr-24,Apr-24,Vertical Software(1),Hospitality(1),Operations(1),SMB(1),PLATFORM(1),AI_EMBEDDED(1),F(1),130,130,130,900,900,900,5.5,5.5,5.5,0,Apax Digital
Arena Holdings,Crossover / public-market,1,1,Celonis,Aug-22,Aug-22,"Data, AI & Developer Tools(1)",Horizontal(1),Operations(1),ENT_IT(1),PLATFORM(1),AI_EMBEDDED(1),D(1),1000,1000,1000,13000,13000,13000,13.0,13.0,13.0,0,Arena Holdings
Aspect Ventures,Venture,1,1,Writer,Sep-23,Sep-23,"Data, AI & Developer Tools(1)",Horizontal(1),Marketing(1),ENT_IT(1),SEATS(1),AI_NATIVE(1),B(1),100,100,100,750,750,750,46.9,46.9,46.9,0,Aspect
AT&T Ventures,Corporate / strategic,1,1,Cyera,Apr-24,Apr-24,Cybersecurity(1),Horizontal(1),Security(1),ENT_IT(1),PLATFORM(1),AI_NATIVE(1),C(1),300,300,300,1400,1400,1400,28.0,28.0,28.0,0,AT&T Ventures
Atomico,Venture,1,1,Factorial,Oct-22,Oct-22,Business Applications(1),Horizontal(1),HR & Workforce(1),SMB(1),SEATS(1),AI_EMBEDDED(1),C(1),120,120,120,1000,1000,1000,33.3,33.3,33.3,0,Atomico
Avra,Venture,1,1,Clay,Jan-26,Jan-26,Marketing & Customer Engagement(1),Horizontal(1),Sales(1),LOB(1),CONSUMPTION(1),AI_EMBEDDED(1),Secondary(1),,,,5000,5000,5000,50.0,50.0,50.0,0,Avra
B Capital,Venture,1,1,Writer,Nov-24,Nov-24,"Data, AI & Developer Tools(1)",Horizontal(1),Marketing(1),ENT_IT(1),SEATS(1),AI_NATIVE(1),C(1),200,200,200,1900,1900,1900,40.4,40.4,40.4,0,B Capital
Baillie Gifford,Crossover / public-market,1,1,Databricks,Sep-23,Sep-23,"Data, AI & Developer Tools(1)",Horizontal(1),Data & Analytics(1),ENT_IT(1),CONSUMPTION(1),AI_EMBEDDED(1),I(1),500,500,500,43000,43000,43000,26.9,26.9,26.9,0,Baillie Gifford
Balderton Capital,Venture,1,1,Writer,Sep-23,Sep-23,"Data, AI & Developer Tools(1)",Horizontal(1),Marketing(1),ENT_IT(1),SEATS(1),AI_NATIVE(1),B(1),100,100,100,750,750,750,46.9,46.9,46.9,0,Balderton
Bedrock Capital,Venture,1,1,Vercel,May-24,May-24,Cloud & Infrastructure(1),Horizontal(1),Engineering & Design(1),DEV(1),CONSUMPTION(1),AI_EMBEDDED(1),E(1),250,250,250,3250,3250,3250,32.5,32.5,32.5,0,Bedrock
Bezos Expeditions,Venture,1,1,Perplexity,Dec-24,Dec-24,Consumer & Prosumer Software(1),Horizontal(1),Data & Analytics(1),CONSUMER(1),SEATS(1),AI_NATIVE(1),Growth(1),500,500,500,9000,9000,9000,142.9,142.9,142.9,0,Bezos Expeditions
Bicycle,Venture,1,1,Glean,Jun-25,Jun-25,"Data, AI & Developer Tools(1)",Horizontal(1),Data & Analytics(1),ENT_IT(1),SEATS(1),AI_NATIVE(1),F(1),150,150,150,7200,7200,7200,72.0,72.0,72.0,1,Bicycle
Blue Owl Capital,Institutional / sovereign / PE,1,1,AlphaSense,Jun-24,Jun-24,"Data, AI & Developer Tools(1)",Financial Services(1),Data & Analytics(1),LOB(1),SEATS(1),AI_EMBEDDED(1),Growth(1),650,650,650,4000,4000,4000,20.0,20.0,20.0,1,Blue Owl
boldstart ventures,Venture,1,1,Snyk,Dec-22,Dec-22,Cybersecurity(1),Horizontal(1),Security(1),DEV(1),SEATS(1),AI_EMBEDDED(1),G(1),197,197,197,7400,7400,7400,49.3,49.3,49.3,0,boldstart
BOND,Venture,1,1,AlphaSense,Sep-23,Sep-23,"Data, AI & Developer Tools(1)",Financial Services(1),Data & Analytics(1),LOB(1),SEATS(1),AI_EMBEDDED(1),E(1),150,150,150,2500,2500,2500,12.5,12.5,12.5,0,BOND
Cisco Investments,Corporate / strategic,1,1,Anthropic,Mar-25,Mar-25,"Data, AI & Developer Tools(1)",Horizontal(1),IT & Integration(1),DEV(1),CONSUMPTION(1),AI_NATIVE(1),E(1),3500,3500,3500,61500,61500,61500,61.5,61.5,61.5,0,Cisco
ClearBridge Investments,Crossover / public-market,1,1,Databricks,Sep-23,Sep-23,"Data, AI & Developer Tools(1)",Horizontal(1),Data & Analytics(1),ENT_IT(1),CONSUMPTION(1),AI_EMBEDDED(1),I(1),500,500,500,43000,43000,43000,26.9,26.9,26.9,0,ClearBridge
Conviction,Venture,1,1,Clay,Jan-26,Jan-26,Marketing & Customer Engagement(1),Horizontal(1),Sales(1),LOB(1),CONSUMPTION(1),AI_EMBEDDED(1),Secondary(1),,,,5000,5000,5000,50.0,50.0,50.0,0,Conviction
Coupa Ventures,Corporate / strategic,1,1,FloQast,Apr-24,Apr-24,Business Applications(1),Horizontal(1),Finance & Payments(1),LOB(1),SEATS(1),AI_EMBEDDED(1),E(1),100,100,100,1600,1600,1600,16.0,16.0,16.0,1,Coupa Ventures
CrowdStrike Falcon Fund,Corporate / strategic,1,1,Abnormal Security,Aug-24,Aug-24,Cybersecurity(1),Horizontal(1),Security(1),ENT_IT(1),SEATS(1),AI_NATIVE(1),D(1),250,250,250,5100,5100,5100,25.5,25.5,25.5,1,CrowdStrike Falcon Fund
Cyberstarts,Venture,1,1,Wiz,May-24,May-24,Cybersecurity(1),Horizontal(1),Security(1),ENT_IT(1),PLATFORM(1),AI_EMBEDDED(1),E(1),1000,1000,1000,12000,12000,12000,34.3,34.3,34.3,0,Cyberstarts
Databricks Ventures,Corporate / strategic,1,1,Lovable,Dec-25,Dec-25,"Data, AI & Developer Tools(1)",Horizontal(1),Engineering & Design(1),PROSUMER(1),CONSUMPTION(1),AI_NATIVE(1),B(1),330,330,330,6600,6600,6600,33.0,33.0,33.0,1,Databricks Ventures
DTCP,Venture,1,1,Cohere,Jun-23,Jun-23,"Data, AI & Developer Tools(1)",Horizontal(1),IT & Integration(1),ENT_IT(1),PLATFORM(1),AI_NATIVE(1),C(1),270,270,270,2100,2100,2100,95.5,95.5,95.5,0,DTCP
Eight Roads Ventures,Venture,1,1,Spendesk,Jan-22,Jan-22,Business Applications(1),Horizontal(1),Finance & Payments(1),SMB(1),PLATFORM(1),AI_EMBEDDED(1),C(1),114,114,114,1140,1140,1140,22.8,22.8,22.8,0,Eight Roads
Evolution Equity Partners,Venture,1,1,Snyk,Dec-22,Dec-22,Cybersecurity(1),Horizontal(1),Security(1),DEV(1),SEATS(1),AI_EMBEDDED(1),G(1),197,197,197,7400,7400,7400,49.3,49.3,49.3,0,Evolution Equity
Farallon Capital,Crossover / public-market,1,1,HiBob,Sep-23,Sep-23,Business Applications(1),Horizontal(1),HR & Workforce(1),LOB(1),SEATS(1),AI_EMBEDDED(1),Growth(1),150,150,150,2700,2700,2700,27.0,27.0,27.0,1,Farallon Capital
Freestyle VC,Venture,1,1,Invisible Technologies,Sep-25,Sep-25,"Data, AI & Developer Tools(1)",Horizontal(1),Data & Analytics(1),ENT_IT(1),SERVICES_LED(1),AI_NATIVE(1),Growth(1),100,100,100,2000,2000,2000,14.9,14.9,14.9,1,Freestyle VC
Frontline,Venture,1,1,Clay,Jan-26,Jan-26,Marketing & Customer Engagement(1),Horizontal(1),Sales(1),LOB(1),CONSUMPTION(1),AI_EMBEDDED(1),Secondary(1),,,,5000,5000,5000,50.0,50.0,50.0,0,Frontline
Frst,Venture,1,1,PayFit,Jan-22,Jan-22,Business Applications(1),Horizontal(1),HR & Workforce(1),SMB(1),SEATS(1),AI_NEUTRAL(1),E(1),289,289,289,2100,2100,2100,21.0,21.0,21.0,0,Frst
Generation Investment Management,Institutional / sovereign / PE,1,1,OneTrust,Jul-23,Jul-23,Business Applications(1),Horizontal(1),Legal & Compliance(1),LOB(1),PLATFORM(1),AI_EMBEDDED(1),Growth(1),150,150,150,4500,4500,4500,11.3,11.3,11.3,0,Generation Investment Management
Geodesic Capital,Institutional / sovereign / PE,1,1,Vercel,May-24,May-24,Cloud & Infrastructure(1),Horizontal(1),Engineering & Design(1),DEV(1),CONSUMPTION(1),AI_EMBEDDED(1),E(1),250,250,250,3250,3250,3250,32.5,32.5,32.5,0,Geodesic
Georgian,Venture,1,1,Cyera,Apr-24,Apr-24,Cybersecurity(1),Horizontal(1),Security(1),ENT_IT(1),PLATFORM(1),AI_NATIVE(1),C(1),300,300,300,1400,1400,1400,28.0,28.0,28.0,0,Georgian
Green Bay Ventures,Corporate / strategic,1,1,Deel,Oct-25,Oct-25,Business Applications(1),Horizontal(1),HR & Workforce(1),LOB(1),SEATS(1),AI_EMBEDDED(1),E(1),300,300,300,17300,17300,17300,17.3,17.3,17.3,1,Green Bay Ventures
Greycroft,Venture,1,1,Invisible Technologies,Sep-25,Sep-25,"Data, AI & Developer Tools(1)",Horizontal(1),Data & Analytics(1),ENT_IT(1),SERVICES_LED(1),AI_NATIVE(1),Growth(1),100,100,100,2000,2000,2000,14.9,14.9,14.9,1,Greycroft
HOF Capital,Venture,1,1,Invisible Technologies,Sep-25,Sep-25,"Data, AI & Developer Tools(1)",Horizontal(1),Data & Analytics(1),ENT_IT(1),SERVICES_LED(1),AI_NATIVE(1),Growth(1),100,100,100,2000,2000,2000,14.9,14.9,14.9,1,HOF Capital
Intel Capital,Corporate / strategic,1,1,Scale AI,May-24,May-24,"Data, AI & Developer Tools(1)",Horizontal(1),Data & Analytics(1),ENT_IT(1),SERVICES_LED(1),AI_NATIVE(1),F(1),1000,1000,1000,13800,13800,13800,15.9,15.9,15.9,0,Intel Capital
Intuit,Corporate / strategic,1,1,Mailchimp,Sep-21,Sep-21,Marketing & Customer Engagement(1),Horizontal(1),Marketing(1),SMB(1),PREMIUM(1),AI_EMBEDDED(1),Acquisition(1),,,,12000,12000,12000,15.0,15.0,15.0,0,Intuit
JMI Equity,Venture,1,1,Huntress,Jun-24,Jun-24,Cybersecurity(1),Horizontal(1),Security(1),SMB(1),SEATS(1),AI_EMBEDDED(1),D(1),150,150,150,1550,1550,1550,15.5,15.5,15.5,0,JMI Equity
K Fund,Venture,1,1,Factorial,Oct-22,Oct-22,Business Applications(1),Horizontal(1),HR & Workforce(1),SMB(1),SEATS(1),AI_EMBEDDED(1),C(1),120,120,120,1000,1000,1000,33.3,33.3,33.3,0,K-Fund
Khazanah Nasional,Institutional / sovereign / PE,1,1,Turing,Mar-25,Mar-25,"Data, AI & Developer Tools(1)",Horizontal(1),Engineering & Design(1),ENT_IT(1),SERVICES_LED(1),AI_NATIVE(1),E(1),111,111,111,2200,2200,2200,7.3,7.3,7.3,0,Khazanah Nasional
Khosla Ventures,Venture,1,1,Glean,Jun-25,Jun-25,"Data, AI & Developer Tools(1)",Horizontal(1),Data & Analytics(1),ENT_IT(1),SEATS(1),AI_NATIVE(1),F(1),150,150,150,7200,7200,7200,72.0,72.0,72.0,1,Khosla
Lone Pine Capital,Crossover / public-market,1,1,Airwallex,Oct-22,Oct-22,Commerce & Payments Software(1),Horizontal(1),Finance & Payments(1),SMB(1),TAKE_RATE(1),AI_NEUTRAL(1),E(1),100,100,100,5500,5500,5500,27.5,27.5,27.5,0,Lone Pine
Microsoft,Corporate / strategic,1,1,OpenAI,Mar-25,Mar-25,Consumer & Prosumer Software(1),Horizontal(1),Data & Analytics(1),CONSUMER(1),SEATS(1),AI_NATIVE(1),Growth(1),40000,40000,40000,300000,300000,300000,54.5,54.5,54.5,0,Microsoft
Nexus Venture Partners,Venture,1,1,Apollo.io,Aug-23,Aug-23,Marketing & Customer Engagement(1),Horizontal(1),Sales(1),SMB(1),SEATS(1),AI_EMBEDDED(1),D(1),100,100,100,1600,1600,1600,16.0,16.0,16.0,0,Nexus Venture Partners
Notable Capital,Venture,1,1,Vercel,May-24,May-24,Cloud & Infrastructure(1),Horizontal(1),Engineering & Design(1),DEV(1),CONSUMPTION(1),AI_EMBEDDED(1),E(1),250,250,250,3250,3250,3250,32.5,32.5,32.5,0,Notable
OpenAI Startup Fund,Corporate / strategic,1,1,Harvey,Jun-25,Jun-25,Vertical Software(1),Legal & Professional Services(1),Legal & Compliance(1),LOB(1),SEATS(1),AI_NATIVE(1),E(1),300,300,300,5000,5000,5000,66.7,66.7,66.7,0,OpenAI Startup Fund
OpenView,Venture,1,1,Calendly,Jan-21,Jan-21,Communications & Collaboration(1),Horizontal(1),Productivity(1),PROSUMER(1),SEATS(1),AI_NEUTRAL(1),B(1),350,350,350,3000,3000,3000,42.9,42.9,42.9,0,OpenView
Operator Collective,Venture,1,1,Clay,Jan-26,Jan-26,Marketing & Customer Engagement(1),Horizontal(1),Sales(1),LOB(1),CONSUMPTION(1),AI_EMBEDDED(1),Secondary(1),,,,5000,5000,5000,50.0,50.0,50.0,0,Operator Collective
Oracle,Corporate / strategic,1,1,Cohere,Jun-23,Jun-23,"Data, AI & Developer Tools(1)",Horizontal(1),IT & Integration(1),ENT_IT(1),PLATFORM(1),AI_NATIVE(1),C(1),270,270,270,2100,2100,2100,95.5,95.5,95.5,0,Oracle
Permira,Institutional / sovereign / PE,1,1,GoCardless,Feb-22,Feb-22,Commerce & Payments Software(1),Horizontal(1),Finance & Payments(1),SMB(1),TAKE_RATE(1),AI_NEUTRAL(1),G(1),312,312,312,2100,2100,2100,21.0,21.0,21.0,0,Permira
Princeville Capital,Venture,1,1,Invisible Technologies,Sep-25,Sep-25,"Data, AI & Developer Tools(1)",Horizontal(1),Data & Analytics(1),ENT_IT(1),SERVICES_LED(1),AI_NATIVE(1),Growth(1),100,100,100,2000,2000,2000,14.9,14.9,14.9,1,Princeville Capital
Prysm Capital,Venture,1,1,Replit,Sep-25,Sep-25,"Data, AI & Developer Tools(1)",Horizontal(1),Engineering & Design(1),LOB(1),CONSUMPTION(1),AI_NATIVE(1),C(1),250,250,250,3000,3000,3000,20.0,20.0,20.0,0,Prysm
Radical Ventures,Venture,1,1,Writer,Nov-24,Nov-24,"Data, AI & Developer Tools(1)",Horizontal(1),Marketing(1),ENT_IT(1),SEATS(1),AI_NATIVE(1),C(1),200,200,200,1900,1900,1900,40.4,40.4,40.4,0,Radical Ventures
Ribbit Capital,Venture,1,1,Deel,Oct-25,Oct-25,Business Applications(1),Horizontal(1),HR & Workforce(1),LOB(1),SEATS(1),AI_EMBEDDED(1),E(1),300,300,300,17300,17300,17300,17.3,17.3,17.3,1,Ribbit
SentinelOne,Corporate / strategic,1,1,Cohere,Jun-23,Jun-23,"Data, AI & Developer Tools(1)",Horizontal(1),IT & Integration(1),ENT_IT(1),PLATFORM(1),AI_NATIVE(1),C(1),270,270,270,2100,2100,2100,95.5,95.5,95.5,0,SentinelOne
Sequoia China / HongShan,Venture,1,1,Airwallex,Oct-22,Oct-22,Commerce & Payments Software(1),Horizontal(1),Finance & Payments(1),SMB(1),TAKE_RATE(1),AI_NEUTRAL(1),E(1),100,100,100,5500,5500,5500,27.5,27.5,27.5,0,Sequoia China
Sixty Degree Capital,Venture,1,1,Cato Networks,Sep-23,Sep-23,Cybersecurity(1),Horizontal(1),Security(1),ENT_IT(1),PLATFORM(1),AI_EMBEDDED(1),Growth(1),238,238,238,3000,3000,3000,30.0,30.0,30.0,1,Sixty Degree Capital
Slack Fund,Corporate / strategic,1,1,1Password,Jan-22,Jan-22,Cybersecurity(1),Horizontal(1),Security(1),SMB(1),SEATS(1),AI_NEUTRAL(1),C(1),620,620,620,6800,6800,6800,56.7,56.7,56.7,1,Slack Fund
Snowflake Ventures,Corporate / strategic,1,1,dbt Labs,Feb-22,Feb-22,"Data, AI & Developer Tools(1)",Horizontal(1),Data & Analytics(1),DEV(1),SEATS(1),AI_NEUTRAL(1),D(1),222,222,222,4200,4200,4200,42.0,42.0,42.0,0,Snowflake Ventures
Sound Ventures,Venture,1,1,Anthropic,May-23,May-23,"Data, AI & Developer Tools(1)",Horizontal(1),IT & Integration(1),DEV(1),CONSUMPTION(1),AI_NATIVE(1),C(1),450,450,450,4000,4000,4000,40.0,40.0,40.0,1,Sound Ventures
South Park Commons,Venture,1,1,Gamma,Nov-25,Nov-25,Consumer & Prosumer Software(1),Horizontal(1),Productivity(1),PROSUMER(1),SEATS(1),AI_NATIVE(1),B(1),68,68,68,2100,2100,2100,21.0,21.0,21.0,1,South Park Commons
Sozo Ventures,Venture,1,1,Turing,Mar-25,Mar-25,"Data, AI & Developer Tools(1)",Horizontal(1),Engineering & Design(1),ENT_IT(1),SERVICES_LED(1),AI_NATIVE(1),E(1),111,111,111,2200,2200,2200,7.3,7.3,7.3,0,Sozo Ventures
Square Peg Capital,Venture,1,1,Airwallex,Oct-22,Oct-22,Commerce & Payments Software(1),Horizontal(1),Finance & Payments(1),SMB(1),TAKE_RATE(1),AI_NEUTRAL(1),E(1),100,100,100,5500,5500,5500,27.5,27.5,27.5,0,Square Peg
Steadfast Capital,Venture,1,1,Outreach,Jun-21,Jun-21,Marketing & Customer Engagement(1),Horizontal(1),Sales(1),LOB(1),SEATS(1),AI_EMBEDDED(1),G(1),200,200,200,4400,4400,4400,22.0,22.0,22.0,0,Steadfast Capital
TCV,Institutional / sovereign / PE,1,1,Qonto,Jan-22,Jan-22,Commerce & Payments Software(1),Horizontal(1),Finance & Payments(1),SMB(1),PLATFORM(1),AI_NEUTRAL(1),D(1),552,552,552,5000,5000,5000,41.7,41.7,41.7,0,TCV
Tencent,Corporate / strategic,1,1,Airwallex,Oct-22,Oct-22,Commerce & Payments Software(1),Horizontal(1),Finance & Payments(1),SMB(1),TAKE_RATE(1),AI_NEUTRAL(1),E(1),100,100,100,5500,5500,5500,27.5,27.5,27.5,0,Tencent
Tidemark,Venture,1,1,Clio,Jul-24,Jul-24,Vertical Software(1),Legal & Professional Services(1),Operations(1),SMB(1),SEATS(1),AI_EMBEDDED(1),F(1),900,900,900,3000,3000,3000,15.0,15.0,15.0,1,Tidemark
