"# Fairway peer positioning tags for listed software. Keyed on exchange_ticker."
# These are Fairway's tags, not CapIQ's. They exist so the reveal can narrow the set to the four
# or five names a given founder should actually be compared against.
#
# SIZE IS NOT A SELECTION CRITERION. A comparable is chosen on profile, end market, end customer,
# business model, growth and profitability. How big the peer is does not make it more or less
# comparable. Relative size is shown NEXT TO each comparable, because a founder needs it to read
# the multiple, but it never includes or excludes a name. If the best comparable in a category is
# forty times the size of the subject, it is still the best comparable and it gets shown.
#
# Serial acquirers need no special rule either. Software Consolidator is an archetype, so a founder
# who is not an acquirer simply does not match one. The reason it matters: Constellation trades at
# 3.3x because it buys about a hundred businesses a year at around 1x revenue, not because its
# software earns 3.3x. That is a different business, and the archetype says so.
#
# acv_usd_disclosed is derived from what the company itself discloses: its published ACV or ARPU
# where it gives one, otherwise NTM revenue divided by a disclosed customer count. Blank where the
# company discloses no count. Counting bases differ (accounts, sites, seats, locations, users), so
# treat it as an order of magnitude, not a figure. Provenance is in the workbook.
# product_tags are the category names a founder or their website would actually use. They are for
# semantic matching, not exact string matching: most tags are deliberately narrow.
# in_stats=0 means the row stays in the set but comes out of medians and regressions.
exchange_ticker,company_name,archetype,archetype_secondary,industry,function,buyer,gtm_motion,revenue_model,product_role,ai_stance,acv_usd_disclosed,in_stats,product_tags,what_it_does
NYSE:VYX,NCR Voyix Corporation,Vertical Software,Commerce & Payments Software,Retail & E-commerce,Operations,ENT_IT,ENT_SALES,PLATFORM,SOR,AI_NEUTRAL,27000,1,Point of Sale|POS|Retail Technology|Restaurant Technology|Self-Checkout|Store Systems,point of sale and store systems for retailers and restaurants; software and services were close to three quarters of 2025 revenue
XTRA:NEM,Nemetschek SE,Design & Engineering,,Construction & Infrastructure,Engineering & Design,LOB,CHANNEL,SEATS,PLATFORM_SUITE,AI_EMBEDDED,,1,BIM|CAD|Architecture Software|Construction Management|Design Software|3D Rendering|PDF Markup,"BIM and design software for architects, engineers and builders"
NASDAQGS:NTSK,"Netskope, Inc.",Cybersecurity,,Horizontal,Security,ENT_IT,ENT_SALES,PLATFORM,INFRA_LAYER,AI_EMBEDDED,195000,1,SASE|SSE|CASB|Secure Web Gateway|Zero Trust Network Access|Cloud Security|DLP,secure access service edge: cloud security gateway and zero-trust network access
NASDAQGS:NTNX,"Nutanix, Inc.",Cloud & Infrastructure,,Horizontal,IT & Integration,ENT_IT,CHANNEL,PLATFORM,INFRA_LAYER,AI_EMBEDDED,107000,1,Hyperconverged Infrastructure|HCI|Private Cloud|Virtualization|Hybrid Cloud|Kubernetes Platform,hyperconverged infrastructure software running private and hybrid clouds
NASDAQGS:OKTA,"Okta, Inc.",Cybersecurity,,Horizontal,Security,ENT_IT,ENT_SALES,SEATS,INFRA_LAYER,AI_NEUTRAL,163000,1,Identity & Access Management|IAM|Single Sign-On|SSO|MFA|Customer Identity|CIAM|Workforce Identity,identity and access management for workforce and customer sign-in
NASDAQCM:OSPN,OneSpan Inc.,Cybersecurity,Vertical Software,Financial Services,Security,ENT_IT,ENT_SALES,PLATFORM,TOOL,AI_NEUTRAL,,1,Multi-Factor Authentication|Hardware Token|E-Signature|Transaction Signing|Anti-Fraud|Banking Security,"authentication, e-signature and anti-fraud software for banks"
NYSE:OOMA,"Ooma, Inc.",Communications & Collaboration,Consumer & Prosumer Software,Horizontal,IT & Integration,SMB,PLG,SEATS,SOE,AI_EMBEDDED,192,1,VoIP|Cloud Phone|Business Phone System|UCaaS|Residential Phone|POTS Replacement,cloud phone service for small businesses and residential users
NASDAQGS:OTEX,Open Text Corporation,Software Consolidator,Cloud & Infrastructure,Horizontal,IT & Integration,ENT_IT,ENT_SALES,LICENSE_MAINT,SOR,AI_EMBEDDED,,1,Enterprise Content Management|ECM|Information Management|Managed File Transfer|Security|Serial Acquirer,"acquirer of information management, content and security software"
NASDAQGS:OPRA,Opera Limited,Consumer & Prosumer Software,Marketing & Customer Engagement,Horizontal,Customer Engagement,CONSUMER,PLG,ADVERTISING,TOOL,AI_EMBEDDED,2,1,Web Browser|Gaming Browser|Ad Network|Search Monetisation|Crypto Wallet,web browsers monetised through search revenue share and advertising
NYSE:ORCL,Oracle Corporation,Cloud & Infrastructure,Business Applications,Horizontal,IT & Integration,ENT_IT,ENT_SALES,PLATFORM,PLATFORM_SUITE,AI_EMBEDDED,,1,Database|ERP|Cloud Infrastructure|IaaS|HCM|NetSuite|Autonomous Database,"database, cloud infrastructure and enterprise applications"
NYSE:PD,"PagerDuty, Inc.","Data, AI & Developer Tools",Business Applications,Horizontal,IT & Integration,DEV,MIDMARKET,SEATS,TOOL,AI_EMBEDDED,32000,1,Incident Management|On-Call Scheduling|Alerting|AIOps|Incident Response|Digital Operations,incident response and on-call alerting for engineering and operations teams
NASDAQGS:PLTR,Palantir Technologies Inc.,"Data, AI & Developer Tools",,Horizontal,Data & Analytics,ENT_IT,ENT_SALES,PLATFORM,PLATFORM_SUITE,AI_NATIVE,10600000,1,Data Integration|AI Platform|Decision Intelligence|Government Analytics|Ontology|Foundry,data integration and AI decisioning platform for government and large enterprises
NASDAQGS:PANW,"Palo Alto Networks, Inc.",Cybersecurity,,Horizontal,Security,ENT_IT,ENT_SALES,PLATFORM,PLATFORM_SUITE,AI_EMBEDDED,191000,1,Firewall|Network Security|Cloud Security|SASE|XDR|SOC Automation|Zero Trust,"network, cloud and endpoint security consolidated onto one platform"
NYSE:PAR,PAR Technology Corporation,Vertical Software,Marketing & Customer Engagement,Hospitality,Operations,LOB,ENT_SALES,PLATFORM,SOR,AI_EMBEDDED,2990,1,Point of Sale|POS|Restaurant Software|Loyalty|Online Ordering|Back Office|Payment Processing,"point of sale, loyalty and back office software for restaurant chains"
NASDAQGS:PEGA,Pegasystems Inc.,Business Applications,Marketing & Customer Engagement,Horizontal,Operations,ENT_IT,ENT_SALES,PLATFORM,PLATFORM_SUITE,AI_EMBEDDED,,1,BPM|Business Process Management|Low-Code|Workflow Automation|Decision Management|Customer Service Software|CRM,"case management, decisioning and workflow automation for large enterprises"
OB:PEXIP,Pexip Holding ASA,Communications & Collaboration,Cloud & Infrastructure,Horizontal,IT & Integration,ENT_IT,ENT_SALES,SEATS,INFRA_LAYER,AI_NEUTRAL,51000,1,Video Conferencing|Meeting Room Interop|Secure Collaboration|Self-Hosted Video|Sovereign Cloud,"video conferencing infrastructure: enterprise meeting-room interoperability with Teams and Google Meet, plus self-hosted and sovereign deployments for government, defence and healthcare"
LSE:PINE,Pinewood Technologies Group PLC,Vertical Software,,Automotive,Operations,LOB,ENT_SALES,PLATFORM,SOR,AI_NEUTRAL,,1,Dealer Management System|DMS|Automotive Retail Software|Vehicle Sales|Service Management,"dealer management system running sales, service and stock for car dealerships"
ENXTPA:PLNW,Planisware SAS,Business Applications,,Horizontal,Operations,LOB,ENT_SALES,SEATS,SOR,AI_NEUTRAL,425000,1,Project Portfolio Management|PPM|R&D Management|Resource Management|Product Development,project portfolio management for R&D-heavy organisations
NYSE:PCOR,"Procore Technologies, Inc.",Vertical Software,,Construction & Infrastructure,Operations,LOB,ENT_SALES,PLATFORM,SOR,AI_EMBEDDED,90000,1,Construction Management|Project Management|Field Management|Construction Financials|Bid Management|Preconstruction,"construction project management, financials and field collaboration for contractors and owners"
NASDAQGS:PRGS,Progress Software Corporation,Software Consolidator,"Data, AI & Developer Tools",Horizontal,IT & Integration,ENT_IT,CHANNEL,LICENSE_MAINT,INFRA_LAYER,AI_NEUTRAL,,1,Developer Tools|Managed File Transfer|Application Development|Infrastructure Monitoring|Serial Acquirer,"acquirer of developer tooling, managed file transfer and infrastructure software"
XTRA:PSAN,PSI Software SE,Vertical Software,,Energy & Utilities,Operations,ENT_IT,ENT_SALES,SERVICES_LED,SOR,AI_NEUTRAL,,1,SCADA|Energy Management|Grid Control|Production Management|MES|Pipeline Management,"control and optimisation software for electricity grids, pipelines and industrial production"
NASDAQGS:PTC,PTC Inc.,Design & Engineering,,Manufacturing,Engineering & Design,LOB,ENT_SALES,SEATS,SOR,AI_EMBEDDED,,1,CAD|PLM|Product Lifecycle Management|ALM|IoT Platform|Augmented Reality|Product Design,CAD and product lifecycle management for discrete manufacturers
NYSE:QTWO,"Q2 Holdings, Inc.",Vertical Software,,Financial Services,Customer Engagement,LOB,ENT_SALES,PLATFORM,SOE,AI_EMBEDDED,773000,1,Digital Banking|Online Banking|Lending Software|Account Opening|Banking as a Service,digital banking and lending platform for regional banks and credit unions
HLSE:QTCOM,Qt Group Oyj,"Data, AI & Developer Tools",Design & Engineering,Horizontal,Engineering & Design,DEV,PLG,SEATS,INFRA_LAYER,AI_NEUTRAL,,1,UI Framework|Embedded Development|Cross-Platform Development|Software Testing|Compiler|Developer Tools,"cross-platform framework for building graphical interfaces in embedded and desktop software, plus software-quality tooling and, since the IAR acquisition, embedded compilers and debuggers"
ATSE:QLCO,Qualco Group S.A.,Vertical Software,,Financial Services,Finance & Payments,LOB,ENT_SALES,SERVICES_LED,SOR,AI_EMBEDDED,,1,Debt Collection Software|Credit Management|Receivables Management|Loan Servicing|Non-Performing Loans,"credit management, collections and receivables software for banks, servicers and utilities"
NASDAQGS:QLYS,"Qualys, Inc.",Cybersecurity,,Horizontal,Security,ENT_IT,ENT_SALES,PLATFORM,PLATFORM_SUITE,AI_NEUTRAL,77000,1,Vulnerability Management|VM|Cloud Security Posture Management|CSPM|Compliance|Patch Management|Attack Surface Management,cloud vulnerability management and compliance scanning
NASDAQGM:RPD,"Rapid7, Inc.",Cybersecurity,,Horizontal,Security,ENT_IT,MIDMARKET,PLATFORM,PLATFORM_SUITE,AI_NEUTRAL,72000,1,Vulnerability Management|SIEM|Detection & Response|MDR|Penetration Testing|Cloud Security,"vulnerability management, detection and response, and managed security services"
NASDAQCM:RDVT,"Red Violet, Inc.","Data, AI & Developer Tools",,Horizontal,Data & Analytics,LOB,MIDMARKET,CONSUMPTION,TOOL,AI_EMBEDDED,11400,1,Identity Resolution|Public Records|Skip Tracing|Investigative Analytics|Fraud Prevention|Data Enrichment,"identity resolution and public-records analytics used for skip tracing, fraud and investigations"
NASDAQGM:RZLV,Rezolve AI PLC,"Data, AI & Developer Tools",Marketing & Customer Engagement,Retail & E-commerce,Customer Engagement,LOB,ENT_SALES,PLATFORM,SOE,AI_NATIVE,,0,Conversational Commerce|Retail AI|Mobile Commerce|Product Discovery|Customer Engagement,AI commerce and engagement platform for retailers and brands
NYSE:RNG,"RingCentral, Inc.",Communications & Collaboration,,Horizontal,IT & Integration,ENT_IT,CHANNEL,SEATS,SOE,AI_EXPOSED,,1,Cloud Phone|UCaaS|Business Phone System|Video Meetings|Contact Center|Team Messaging,"cloud phone, meetings and contact centre licensed per seat"
NYSE:RSKD,Riskified Ltd.,Commerce & Payments Software,"Data, AI & Developer Tools",Retail & E-commerce,Finance & Payments,LOB,ENT_SALES,TAKE_RATE,TOOL,AI_NATIVE,,1,Chargeback Guarantee|Fraud Prevention|E-commerce Fraud|Payment Optimization|Policy Abuse Prevention,"machine-learning chargeback guarantee that approves or declines e-commerce orders, paid as a share of volume"
NASDAQGS:ROP,"Roper Technologies, Inc.",Software Consolidator,Vertical Software,Horizontal,Operations,ENT_IT,ENT_SALES,PLATFORM,PLATFORM_SUITE,AI_NEUTRAL,,1,Vertical Market Software|Legal Software|Insurance Software|Healthcare Software|Serial Acquirer|Diversified Industrial,diversified group whose main segments are vertical software businesses
NYSE:RBRK,"Rubrik, Inc.",Cybersecurity,Cloud & Infrastructure,Horizontal,Security,ENT_IT,ENT_SALES,PLATFORM,INFRA_LAYER,AI_EMBEDDED,,1,Backup & Recovery|Data Security|Ransomware Recovery|Cyber Resilience|Data Security Posture Management|DSPM,data security and backup with ransomware recovery
NASDAQGS:SAIL,"SailPoint, Inc.",Cybersecurity,,Horizontal,Security,ENT_IT,ENT_SALES,PLATFORM,SOR,AI_EMBEDDED,410000,1,Identity Governance|IGA|Access Certification|Privileged Access|Identity Security|Access Management,"identity governance: who has access to what, and whether they should"
NYSE:CRM,"Salesforce, Inc.",Business Applications,Marketing & Customer Engagement,Horizontal,Sales,ENT_IT,ENT_SALES,SEATS,SOR,AI_EMBEDDED,,1,CRM|Sales Automation|Customer Service Software|Marketing Automation|Analytics|Low-Code Platform,"CRM and the service, marketing and analytics clouds around it"
NYSE:IOT,Samsara Inc.,Vertical Software,,Horizontal,Operations,LOB,ENT_SALES,PLATFORM,SOR,AI_EMBEDDED,175000,1,Fleet Management|Telematics|Dashcam|Connected Operations|Asset Tracking|Driver Safety|IoT Platform,"connected operations platform for vehicle fleets and industrial equipment, telematics hardware included in the subscription"
XTRA:SAP,SAP SE,Business Applications,,Horizontal,Operations,ENT_IT,ENT_SALES,PLATFORM,SOR,AI_EMBEDDED,,1,ERP|Enterprise Resource Planning|Supply Chain|Procurement|Financial Management|HCM|Business Technology Platform,"ERP running finance, supply chain and operations for large enterprises"
NYSE:S,"SentinelOne, Inc.",Cybersecurity,,Horizontal,Security,ENT_IT,CHANNEL,PLATFORM,PLATFORM_SUITE,AI_NATIVE,,1,EDR|Endpoint Security|XDR|Cloud Workload Protection|AI SIEM|Threat Detection,autonomous endpoint protection and extended detection and response
NYSE:NOW,"ServiceNow, Inc.",Business Applications,,Horizontal,IT & Integration,ENT_IT,ENT_SALES,PLATFORM,PLATFORM_SUITE,AI_EMBEDDED,,1,ITSM|IT Service Management|Workflow Automation|Employee Service|Low-Code Platform|Enterprise Service Management,IT service management extended into a general enterprise workflow platform
NASDAQGS:TTAN,"ServiceTitan, Inc.",Vertical Software,Commerce & Payments Software,Home & Field Services,Operations,SMB,MIDMARKET,PLATFORM,SOR,AI_EMBEDDED,109000,1,Field Service Management|FSM|Trades Software|Dispatch Software|HVAC Software|Plumbing Software|Embedded Payments,"operating system for trades contractors: scheduling, dispatch, invoicing and payments"
WSE:SHO,Shoper S.A.,Commerce & Payments Software,,Retail & E-commerce,Operations,SMB,PLG,TAKE_RATE,SOR,AI_NEUTRAL,,1,E-commerce Platform|Online Store Builder|Website Builder|Shopping Cart|Marketplace Integration|Payments,hosted online store platform for Polish small merchants
NASDAQGS:SHOP,Shopify Inc.,Commerce & Payments Software,,Retail & E-commerce,Operations,SMB,PLG,TAKE_RATE,SOR,AI_EMBEDDED,,1,E-commerce Platform|Online Store Builder|Shopping Cart|Point of Sale|Payment Processing|B2B Commerce|Headless Commerce,"commerce platform for online and in-person merchants, monetised mainly on payments and merchant solutions"
ENXTPA:ALBFR,Sidetrade SA,Business Applications,"Data, AI & Developer Tools",Horizontal,Finance & Payments,LOB,ENT_SALES,PLATFORM,SOE,AI_NATIVE,,1,Order to Cash|Accounts Receivable|Collections Software|Credit Management|AI Agents|Cash Application,"AI order-to-cash platform automating receivables, collections and credit decisions"
OM:SINCH,Sinch AB (publ),Communications & Collaboration,Cloud & Infrastructure,Horizontal,Customer Engagement,DEV,ENT_SALES,CONSUMPTION,INFRA_LAYER,AI_NEUTRAL,14900,1,SMS API|CPaaS|A2P Messaging|Voice API|Email API|RCS|WhatsApp Business,"SMS, voice and messaging APIs sold on volume, with carrier costs passed through"
NYSE:SNOW,Snowflake Inc.,"Data, AI & Developer Tools",Cloud & Infrastructure,Horizontal,Data & Analytics,ENT_IT,ENT_SALES,CONSUMPTION,INFRA_LAYER,AI_EMBEDDED,484000,1,Data Warehouse|Cloud Data Platform|Data Lake|Analytics|Data Sharing|AI Data Cloud,cloud data warehouse and analytics platform billed on compute consumed
NASDAQGM:SOUN,"SoundHound AI, Inc.","Data, AI & Developer Tools",Marketing & Customer Engagement,Horizontal,Customer Service,LOB,OEM,CONSUMPTION,INFRA_LAYER,AI_NATIVE,,1,Voice AI|Conversational AI|Drive-Thru AI|Speech Recognition|Restaurant AI|In-Car Assistant,"voice AI for restaurant drive-through ordering, vehicles and customer service"
NYSE:CXM,"Sprinklr, Inc.",Marketing & Customer Engagement,,Horizontal,Customer Service,LOB,ENT_SALES,SEATS,SOE,AI_EXPOSED,519000,1,Social Media Management|Customer Experience|Contact Center|Social Listening|Unified CXM|Marketing Software,"unified customer experience management across social, service and marketing channels"
NASDAQCM:SPT,"Sprout Social, Inc.",Marketing & Customer Engagement,,Horizontal,Marketing,LOB,MIDMARKET,SEATS,TOOL,AI_EXPOSED,,1,Social Media Management|Social Scheduling|Social Listening|Employee Advocacy|Social Analytics,"social media management, scheduling and analytics"
NASDAQGS:SPSC,"SPS Commerce, Inc.",Vertical Software,Cloud & Infrastructure,Retail & E-commerce,Supply Chain,SMB,MIDMARKET,PLATFORM,INFRA_LAYER,AI_NEUTRAL,16000,1,EDI|Electronic Data Interchange|Retail Supply Chain|Vendor Compliance|Order Management|Trading Partner Network,retail EDI network connecting suppliers to retailers' ordering systems
NASDAQGS:SNPS,"Synopsys, Inc.",Design & Engineering,,Semiconductors,Engineering & Design,DEV,ENT_SALES,LICENSE_MAINT,PLATFORM_SUITE,AI_EMBEDDED,,1,EDA|Electronic Design Automation|Chip Design|Semiconductor IP|Simulation|CAE|Multiphysics,"electronic design automation, semiconductor design IP and, since the Ansys acquisition, simulation and analysis"
XTRA:TMV,TeamViewer SE,Business Applications,Cloud & Infrastructure,Horizontal,IT & Integration,SMB,PLG,SEATS,TOOL,AI_EMBEDDED,1420,1,Remote Access|Remote Support|Remote Desktop|Endpoint Management|Digital Employee Experience|AR Support,remote access and remote support software
TSX:TCS,Tecsys Inc.,Vertical Software,,Healthcare & Life Sciences,Supply Chain,LOB,ENT_SALES,PLATFORM,SOR,AI_NEUTRAL,,1,WMS|Warehouse Management|Supply Chain Execution|Healthcare Supply Chain|Distribution Software|Point of Use,"warehouse and supply chain execution software, concentrated in healthcare distribution"
SWX:TEMN,Temenos AG,Vertical Software,,Financial Services,Operations,ENT_IT,ENT_SALES,LICENSE_MAINT,SOR,AI_EMBEDDED,1267000,1,Core Banking|Banking Software|Wealth Management Software|Payments|Digital Banking|Islamic Banking,"core banking platform running accounts, payments and lending for retail and private banks"
NASDAQGS:TENB,"Tenable Holdings, Inc.",Cybersecurity,,Horizontal,Security,ENT_IT,CHANNEL,PLATFORM,PLATFORM_SUITE,AI_EMBEDDED,28000,1,Vulnerability Management|Exposure Management|Cloud Security|OT Security|Attack Surface Management|Identity Exposure,"exposure management: vulnerability scanning across IT, cloud and operational technology"
NYSE:TDC,Teradata Corporation,"Data, AI & Developer Tools",,Horizontal,Data & Analytics,ENT_IT,ENT_SALES,PLATFORM,INFRA_LAYER,AI_EMBEDDED,,1,Data Warehouse|Analytics|Data Lakehouse|Enterprise Analytics|In-Database Analytics,"enterprise data warehouse and analytics, migrating a large on-premise base to cloud"
WSE:TXT,Text S.A.,Marketing & Customer Engagement,,Horizontal,Customer Service,SMB,PLG,SEATS,TOOL,AI_EXPOSED,,1,Live Chat|Chatbot|Help Desk|Customer Support Software|Knowledge Base|Website Chat,"LiveChat, ChatBot and HelpDesk products for website customer support"
LSE:SGE,The Sage Group plc,Business Applications,,Horizontal,Finance & Payments,SMB,CHANNEL,PLATFORM,SOR,AI_EMBEDDED,,1,Accounting Software|ERP|Payroll|Bookkeeping|SMB Finance|HR Software|Cloud Accounting,"accounting, payroll and ERP for small and mid-sized businesses"
ENXTAM:TOM2,TomTom N.V.,"Data, AI & Developer Tools",Vertical Software,Automotive,Engineering & Design,DEV,OEM,ROYALTY,INFRA_LAYER,AI_NEUTRAL,,1,Digital Maps|Navigation|Traffic Data|Location API|Geocoding|Automotive Navigation|Map SDK,"digital maps, navigation and traffic data licensed to carmakers and technology platforms"
TSXV:TOI,Topicus.com Inc.,Software Consolidator,Vertical Software,Horizontal,Operations,ENT_IT,ENT_SALES,LICENSE_MAINT,SOR,AI_NEUTRAL,,1,Vertical Market Software|Serial Acquirer|Public Sector Software|Financial Software,European vertical market software acquirer spun out of Constellation
NASDAQGS:TRMB,Trimble Inc.,Vertical Software,Design & Engineering,Construction & Infrastructure,Engineering & Design,LOB,CHANNEL,PLATFORM,SOR,AI_NEUTRAL,,1,Construction Technology|GNSS|Surveying|Field Software|Transportation Management|Geospatial|BIM,"positioning, field and design software for construction and transport; the agriculture business moved into the PTx Trimble joint venture in 2024 and a hardware business remains"
OM:TRUE B,Truecaller AB (publ),Consumer & Prosumer Software,,Horizontal,Customer Engagement,CONSUMER,PLG,ADVERTISING,TOOL,AI_EMBEDDED,13,1,Caller ID|Spam Blocking|Contact Management|Consumer App|Business Messaging,"caller identification and spam blocking app, monetised on advertising and subscriptions"
NYSE:TWLO,Twilio Inc.,Communications & Collaboration,Cloud & Infrastructure,Horizontal,Customer Engagement,DEV,PLG,CONSUMPTION,INFRA_LAYER,AI_EMBEDDED,15800,1,SMS API|CPaaS|Voice API|Email API|Customer Data Platform|Messaging|Two-Factor Authentication,"programmable messaging, voice and email APIs, plus a customer data platform"
NYSE:TYL,"Tyler Technologies, Inc.",Vertical Software,,Government,Operations,PUBLIC,ENT_SALES,PLATFORM,SOR,AI_NEUTRAL,,1,GovTech|Court Software|Public Safety Software|Permitting|Property Appraisal|Government Payments|ERP for Government,"software running courts, public safety, permitting, appraisal and payments for US state and local government"
NYSE:PATH,"UiPath, Inc.",Business Applications,"Data, AI & Developer Tools",Horizontal,Operations,ENT_IT,ENT_SALES,PLATFORM,PLATFORM_SUITE,AI_NATIVE,172000,1,RPA|Robotic Process Automation|Agentic Automation|Process Mining|Document Understanding|Test Automation|Agent Orchestration,robotic process automation extended into agentic automation for back-office work
NYSE:U,Unity Software Inc.,Design & Engineering,Marketing & Customer Engagement,Media & Gaming,Engineering & Design,DEV,PLG,ADVERTISING,PLATFORM_SUITE,AI_EMBEDDED,,1,Game Engine|3D Engine|Real-Time 3D|Mobile Ad Network|Game Monetisation|Digital Twin|AR/VR Development,real-time 3D game engine plus a mobile advertising network
NASDAQGS:VRNS,"Varonis Systems, Inc.",Cybersecurity,,Horizontal,Security,ENT_IT,ENT_SALES,PLATFORM,PLATFORM_SUITE,AI_EMBEDDED,,1,Data Security|DSPM|Data Access Governance|Insider Threat|Data Classification|Managed Data Detection & Response,data security posture management: finds sensitive data and who can reach it
NASDAQGM:VERX,"Vertex, Inc.",Business Applications,Vertical Software,Horizontal,Finance & Payments,ENT_IT,ENT_SALES,PLATFORM,INFRA_LAYER,AI_NEUTRAL,142997,1,Tax Software|Sales Tax|Indirect Tax|Tax Compliance|Tax Determination|E-Invoicing|VAT,indirect tax determination and compliance engine embedded in ERP and commerce systems
NYSE:VIA,"Via Transportation, Inc.",Vertical Software,,Government,Operations,PUBLIC,ENT_SALES,SERVICES_LED,PLATFORM_SUITE,AI_EMBEDDED,749000,1,Transit Software|Paratransit|Demand-Responsive Transport|Route Planning|Microtransit|School Transportation,"software transit agencies use to plan, book and run on-demand and paratransit services"
OM:VIT B,Vitec Software Group AB (publ),Software Consolidator,Vertical Software,Horizontal,Operations,SMB,ENT_SALES,PLATFORM,SOR,AI_NEUTRAL,15200,1,Vertical Market Software|Real Estate Software|Healthcare Software|Energy Software|Serial Acquirer,Nordic vertical market software acquirer
NYSE:WEAV,"Weave Communications, Inc.",Vertical Software,Marketing & Customer Engagement,Healthcare & Life Sciences,Customer Engagement,SMB,MIDMARKET,PLATFORM,SOE,AI_EMBEDDED,9700,1,Patient Communication|Practice Management|Dental Software|Veterinary Software|Appointment Reminders|Payments,"patient communication, phone and payments for dental, optometry and veterinary practices"
NASDAQGS:WDAY,"Workday, Inc.",Business Applications,,Horizontal,HR & Workforce,LOB,ENT_SALES,PLATFORM,SOR,AI_EMBEDDED,951000,1,HCM|Human Capital Management|HRIS|Payroll|Financial Management|ERP|Workforce Planning,HR and finance system of record for large enterprises
NYSE:WK,Workiva Inc.,Business Applications,,Horizontal,Finance & Payments,LOB,ENT_SALES,PLATFORM,PLATFORM_SUITE,AI_EMBEDDED,166000,1,Financial Reporting|SEC Reporting|ESG Reporting|Regulatory Reporting|Audit Management|SOX Compliance,"connected reporting for financial, ESG and regulatory disclosure"
NYSE:YEXT,"Yext, Inc.",Marketing & Customer Engagement,"Data, AI & Developer Tools",Horizontal,Marketing,LOB,MIDMARKET,PLATFORM,SOE,AI_EXPOSED,,1,Listings Management|Local SEO|Reputation Management|Review Management|Digital Presence|Knowledge Graph,"manages a brand's business listings, reviews and location data across search and maps"
NYSE:ZETA,Zeta Global Holdings Corp.,Marketing & Customer Engagement,"Data, AI & Developer Tools",Horizontal,Marketing,LOB,ENT_SALES,CONSUMPTION,SOE,AI_EMBEDDED,,1,Marketing Automation|CDP|Identity Graph|Omnichannel Marketing|Email Marketing|Demand Generation,"marketing platform combining a large consumer data set with campaign execution, with media pass-through in revenue"
NASDAQGS:ZM,"Zoom Communications, Inc.",Communications & Collaboration,Business Applications,Horizontal,IT & Integration,ENT_IT,PLG,SEATS,SOE,AI_EXPOSED,,1,Video Conferencing|Web Conferencing|Cloud Phone|UCaaS|Webinar|Team Chat|Contact Center,"video meetings, phone and contact centre"
NASDAQGS:ZS,"Zscaler, Inc.",Cybersecurity,,Horizontal,Security,ENT_IT,ENT_SALES,PLATFORM,INFRA_LAYER,AI_EMBEDDED,399000,1,Zero Trust|SASE|SSE|Secure Web Gateway|ZTNA|Cloud Security|Data Protection,zero trust cloud security routing user traffic through its own inspection network
NASDAQGS:TEAM,Atlassian Corporation,"Data, AI & Developer Tools",Business Applications,Horizontal,Engineering & Design,DEV,PLG,SEATS,SOR,AI_EMBEDDED,21000,1,Issue Tracking|Project Management|Agile Planning|Wiki|Knowledge Base|DevOps|IT Service Management,"Jira, Confluence and the planning and collaboration stack software teams run on"
NYSE:VEEV,Veeva Systems Inc.,Vertical Software,,Healthcare & Life Sciences,Operations,LOB,ENT_SALES,SEATS,SOR,AI_EMBEDDED,2417000,1,Life Sciences Software|Pharma CRM|Clinical Trial Software|Regulatory Information Management|Quality Management|eTMF,"CRM, clinical and regulatory systems for pharmaceutical and life sciences companies"
NASDAQGS:CHKP,Check Point Software Technologies Ltd.,Cybersecurity,,Horizontal,Security,ENT_IT,CHANNEL,LICENSE_MAINT,INFRA_LAYER,AI_EMBEDDED,,1,Firewall|Network Security|Endpoint Security|Email Security|Cloud Security|Threat Prevention,network firewalls and a consolidated security platform
NASDAQGS:NICE,NICE Ltd.,Marketing & Customer Engagement,"Data, AI & Developer Tools",Horizontal,Customer Service,LOB,ENT_SALES,SEATS,SOE,AI_EXPOSED,133000,1,Contact Center|CCaaS|Workforce Engagement Management|WEM|Call Recording|Financial Crime|AML|Conversational AI,"contact centre software, workforce optimisation and financial crime compliance"
ENXTPA:DSY,Dassault Systemes SE,Design & Engineering,Business Applications,Manufacturing,Engineering & Design,LOB,ENT_SALES,SEATS,SOR,AI_EMBEDDED,19600,1,CAD|PLM|Product Lifecycle Management|3D Design|Simulation|CAE|Clinical Trial Software|Digital Twin,"3D design, simulation and product lifecycle management (CATIA, SOLIDWORKS, 3DEXPERIENCE) plus Medidata clinical trial software for life sciences"
NASDAQGS:WIX,Wix.com Ltd.,Cloud & Infrastructure,Commerce & Payments Software,Horizontal,IT & Integration,SMB,PLG,PLATFORM,PLATFORM_SUITE,AI_EMBEDDED,,1,Website Builder|AI Website Builder|No-Code|Web Design|CMS|Web Hosting|Online Store Builder|E-commerce Platform|Domain Registration|Landing Page Builder,"website builder with hosting, CMS, commerce and business apps, sold self-serve to small businesses and the agencies that serve them"
NYSE:SMWB,Similarweb Ltd.,"Data, AI & Developer Tools",Marketing & Customer Engagement,Horizontal,Data & Analytics,LOB,MIDMARKET,SEATS,TOOL,AI_EMBEDDED,,1,Digital Intelligence|Web Analytics|Traffic Analytics|Competitive Intelligence|Keyword Research|SEO|Rank Tracking|Market Research|App Analytics|Audience Analysis|Web Scraping|Sales Intelligence,"digital market intelligence built on measured web and app traffic: competitor traffic, keyword and SEO research, audience analysis and sales prospecting signals"
