# Fairway positioning tags for the listed fintech set. Keyed on exchange_ticker, 87 rows.
#
# TWO VOCABULARY FAMILIES, and which one a name gets is the most important call in this file.
# If the company SELLS SOFTWARE to financial institutions it keeps the SOFTWARE archetypes with
# industry = Financial Services, so a founder building core-banking software matches Temenos AND
# nCino AND the listed software set in one pass. If the company IS A FINANCIAL BUSINESS, earning
# on money it moves, lends, underwrites, custodies or matches, it gets one of ten new archetypes
# defined by ECONOMIC ENGINE rather than sector. Visa at 14.0x and Global Payments at 3.4x are
# both "payments"; a network taking a toll on volume it does not underwrite is not an acquirer
# carrying settlement risk, and a single tag covering both would carry no information.
#
# nCino, Q2 and BILL are INHERITED verbatim from peers-software-tags.csv rather than retyped,
# so the two files cannot drift.
#
# ADVERSARIALLY VERIFIED, Aug 2026. Four agents challenged every field against segment revenue in
# the latest annual reports. 83 field changes were accepted across 47 of the 87 names. The pattern
# was the same one the software audit found: the companies I got wrong were the ones whose name
# describes one business and whose segment disclosure describes another. Toast is 82% payments
# revenue and 72% payments gross profit. Corpay has no software subscription line at all. EVERTEC
# is 18% acquiring and 82% bank processing. Paytm has no bank: the licence was cancelled in 2026.
#
# industry means WHOSE INDUSTRY THE CUSTOMER IS IN. Financial Services is reserved for companies
# selling TO financial institutions. A payments company serving ordinary merchants is Horizontal,
# and an insurer selling cover to consumers is Horizontal, not Insurance.
exchange_ticker,company_name,archetype,archetype_secondary,industry,function,buyer,gtm_motion,revenue_model,product_role,ai_stance,product_tags,what_it_does
NSEI:PAYTM,One97 Communications Limited,Merchant Acquiring & PSP,Lending & Credit,Horizontal,Finance & Payments,SMB,PLG,TAKE_RATE,SOR,AI_EMBEDDED,Digital Wallet|Real-Time Payments|Merchant Payments|QR Code|Payment Device|Lending Distribution|Super App|India Payments,"Indian payments app whose economics come from merchant devices and from distributing other lenders' credit, since the underlying rails earn nothing"
NSEI:MOBIKWIK,One MobiKwik Systems Limited,Merchant Acquiring & PSP,Lending & Credit,Horizontal,Finance & Payments,SMB,PLG,TAKE_RATE,SOE,AI_NEUTRAL,Digital Wallet|Real-Time Payments|Buy Now Pay Later|Consumer Credit|Bill Payment|Merchant Payments|India Payments,"consumer wallet monetised mainly by distributing credit, because the payment itself carries no fee in India"
NSEI:IEX,Indian Energy Exchange Limited,Market Infrastructure & Exchange,,Energy & Utilities,Trading & Markets,ENT_IT,ENT_SALES,TRANSACTION_FEE,INFRA_LAYER,AI_NEUTRAL,Power Exchange|Electricity Trading|Energy Markets|Day-Ahead Market|Renewable Certificates|Clearing|India Energy,"electricity exchange matching generators and distributors, billing per unit of power cleared"
NSEI:MCX,Multi Commodity Exchange of India Limited,Market Infrastructure & Exchange,,Financial Services,Trading & Markets,ENT_IT,ENT_SALES,TRANSACTION_FEE,INFRA_LAYER,AI_NEUTRAL,Commodity Exchange|Derivatives|Metals Futures|Energy Futures|Clearing|Options|India Commodities,"dominant Indian commodity derivatives venue, billing per contract on metals, energy and bullion"
NSEI:BSE,BSE Limited,Market Infrastructure & Exchange,,Financial Services,Trading & Markets,ENT_IT,ENT_SALES,TRANSACTION_FEE,INFRA_LAYER,AI_NEUTRAL,Equity Exchange|Derivatives|Listings|Clearing|Mutual Fund Distribution|SME Platform|India Exchange,"the older Indian exchange, now growing through index derivatives and a mutual-fund order routing platform"
NSEI:CRISIL,CRISIL Limited,Financial Data & Index,,Financial Services,Data & Analytics,LOB,ENT_SALES,SERVICES_LED,TOOL,AI_EMBEDDED,Credit Ratings|Research & Analytics|Benchmarking|Risk Solutions|Global Research Services|Economic Research|India Ratings,"Indian ratings agency billing per issuance, with a large offshore research and analytics arm serving global banks"
SEHK:388,Hong Kong Exchanges and Clearing Limited,Market Infrastructure & Exchange,,Financial Services,Trading & Markets,ENT_IT,ENT_SALES,TRANSACTION_FEE,INFRA_LAYER,AI_NEUTRAL,Equity Exchange|Listings|Clearing|Cross-Border Trading|Derivatives|Metals Exchange|Commodities|Post-Trade,Hong Kong exchange and clearing house whose franchise is being the regulated channel between mainland Chinese and international capital
SEHK:6060,"ZhongAn Online P&C Insurance Co., Ltd.",Insurance Technology,,Horizontal,Finance & Payments,CONSUMER,CHANNEL,PREMIUM,SOR,AI_EMBEDDED,Digital Insurance|Online Insurance|Health Insurance|Property Insurance|Ecosystem Insurance|Virtual Bank|China Insurtech,"licensed online-only insurer distributing through internet ecosystems, so it takes underwriting risk rather than a software fee"
TSE:8697,"Japan Exchange Group, Inc.",Market Infrastructure & Exchange,,Financial Services,Trading & Markets,ENT_IT,ENT_SALES,TRANSACTION_FEE,INFRA_LAYER,AI_NEUTRAL,Equity Exchange|Listings|Derivatives|Clearing|Market Data|Post-Trade|Japan Exchange,Japan's consolidated cash equity and derivatives exchange group with its own clearing
TSE:3769,"GMO Payment Gateway, Inc.",Merchant Acquiring & PSP,Lending & Credit,Horizontal,Finance & Payments,SMB,ENT_SALES,TAKE_RATE,INFRA_LAYER,AI_NEUTRAL,Payment Gateway|Online Payments|Merchant Acquiring|Subscription Billing|Card Payments|Japan Payments|Recurring Billing,"Japanese online payment gateway and acquirer, with a lending arm advancing against merchant receivables"
ASX:ASX,ASX Limited,Market Infrastructure & Exchange,,Financial Services,Trading & Markets,ENT_IT,ENT_SALES,TRANSACTION_FEE,INFRA_LAYER,AI_NEUTRAL,Equity Exchange|Listings|Clearing|Settlement|Derivatives|Market Data|Australia Exchange,"monopoly Australian exchange, clearing house and registry, billing listings, trading and post-trade on the same flow"
ASX:IRE,Iress Limited,Vertical Software,,Financial Services,Trading & Markets,ENT_IT,ENT_SALES,PLATFORM,SOR,AI_EMBEDDED,Trading Software|Order Management|Financial Advice Software|Wealth Management Software|Market Data|Superannuation|Mortgage Software,"software running the order desk of a broker and the advice workflow of a financial planner, sold as a licensed platform"
ASX:HUB,HUB24 Limited,Wealth & Capital Markets Platform,Vertical Software,Financial Services,Operations,LOB,CHANNEL,AUM_LINKED,SOR,AI_EMBEDDED,Investment Platform|Managed Accounts|Adviser Platform|Superannuation|Portfolio Administration|Custody|Australia Wealth,"administration platform an adviser puts a client's portfolio onto, charging basis points on the assets held rather than a licence fee"
ASX:NWL,Netwealth Group Limited,Wealth & Capital Markets Platform,,Financial Services,Operations,LOB,CHANNEL,AUM_LINKED,SOR,AI_EMBEDDED,Investment Platform|Managed Accounts|Adviser Platform|Superannuation|Portfolio Administration|Custody|Australia Wealth,adviser-distributed investment platform earning basis points on funds under administration
ASX:TYR,Tyro Payments Limited,Merchant Acquiring & PSP,,Horizontal,Finance & Payments,SMB,MIDMARKET,TAKE_RATE,INFRA_LAYER,AI_NEUTRAL,Merchant Acquiring|Card Terminal|SMB Payments|Health Claims|Point of Sale|Business Banking|Australia Payments,"Australian challenger acquirer for small merchants, strongest where the terminal also does health-fund claiming"
ASX:ZIP,Zip Co Limited,Lending & Credit,,Retail & E-commerce,Finance & Payments,CONSUMER,PLG,NET_INTEREST,SOE,AI_EMBEDDED,Buy Now Pay Later|BNPL|Point-of-Sale Lending|Consumer Credit|Installments|Merchant Network|Digital Wallet,"instalment credit at checkout across Australia and the United States, earning merchant fees plus consumer account fees"
ASX:OFX,OFX Group Limited,Cross-Border & FX,,Horizontal,Finance & Payments,SMB,PLG,TAKE_RATE,SOE,AI_NEUTRAL,Cross-Border Payments|Foreign Exchange|Money Transfer|Multi-Currency Account|Corporate FX|International Payments,cross-border FX for small businesses and individuals moving larger amounts than a remittance but smaller than a bank will price well
ASX:EML,EML Payments Limited,Merchant Acquiring & PSP,Digital Bank & Deposits,Horizontal,Finance & Payments,LOB,ENT_SALES,TAKE_RATE,INFRA_LAYER,AI_NEUTRAL,Prepaid Cards|Gift Cards|Program Management|Card Issuing|Disbursements|Government Payments|Digital Wallets,"runs prepaid and gift card programmes on behalf of brands, malls and government agencies, earning on load and interchange"
JSE:JSE,JSE Limited,Market Infrastructure & Exchange,Vertical Software,Financial Services,Trading & Markets,ENT_IT,ENT_SALES,TRANSACTION_FEE,INFRA_LAYER,AI_NEUTRAL,Equity Exchange|Listings|Clearing|Derivatives|Market Data|Post-Trade|South Africa Exchange,"South African exchange group covering equities, derivatives, clearing and market data"
CBSE:HPS,HPS S.A.,Vertical Software,Payment Network,Financial Services,Finance & Payments,ENT_IT,ENT_SALES,PLATFORM,SOR,AI_NEUTRAL,Payment Software|Card Management|Payment Switching|Issuing Software|Acquiring Software|Bank Payments|Emerging Market Payments,"licenses payment switching and card management software to banks and processors across Africa, the Middle East and Asia, plus a processing arm"
